Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Staten Island,St. George,40.64498157,-74.07935313,10301,25,0,14,24,424.52,,3.386554622,1.708333333,0,47.41176471,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,New Brighton,40.64061456,-74.08701651,10301,25,0,9,21,773.08,,3.605664488,1.428571429,0,32.45098039,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Stapleton,40.62692763,-74.07790193,10301,25,0,9,23,402.4,,3.239651416,1.434782609,0,29.15686275,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Rosebank,40.61530495,-74.06980527,10305,25,0,12,24,371.32,,3.405228758,1.583333333,0,40.8627451,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,West Brighton,40.63187893,-74.10718178,10301,25,0,17,21,327.6,,3.389850058,1.380952381,0,57.62745098,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Grymes Hill,40.62418479,-74.0872482,10304,17,0,4,10,797.7647059,,3.392156863,1.6,0,13.56862745,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Todt Hill,40.59706852,-74.11132882,,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,South Beach,40.58024741,-74.07955293,10305,2,0,1,2,323.5,,3.274509804,1.5,0,3.274509804,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Port Richmond,40.63366931,-74.12943427,10310,67,47,54,62,610.0104406,215.8085106,3.859477124,1.580645161,10143,208.4117647,98,21,11.93333333,4.106666667,179,61.6,0,3,54,4.2,162,12.6,19,1,4,1,4,2,114,3.8,228,7.6,5,1752,119,114,0.042016807,2017.403361,6.386554622,15.55462185,2017.368421,6.798245614,16.53508772,15.36842105,,,,,
Staten Island,Mariner's Harbor,40.63254639,-74.15008537,10302,25,0,14,23,754.56,,3.352941176,1.52173913,0,46.94117647,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Port Ivory,40.63968298,-74.17464533,10303,3,0,0,1,958.3333333,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Castleton Corners,40.61333594,-74.11918059,10314,25,0,17,24,457.24,,3.205305652,1.333333333,0,54.49019608,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,New Springville,40.59425238,-74.16496031,10314,22,0,7,16,546.6818182,,2.680672269,1.1875,0,18.76470588,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Travis,40.58631375,-74.19073718,10314,11,0,3,6,521.4545455,,3.196078431,1.5,0,9.588235294,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,New Dorp,40.57257232,-74.11647944,10306,25,0,23,25,522.16,,3.236999147,1.52,0,74.45098039,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Oakwood,40.55846224,-74.12156594,10306,15,0,4,9,844.2666667,,2.725490196,1.444444444,0,10.90196078,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Great Kills,40.54948023,-74.14932381,10308,25,0,17,25,511.72,,3.223760092,1.92,0,54.80392157,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Eltingville,40.54223075,-74.1643308,10312,25,0,20,25,294.44,,3.050980392,1.52,0,61.01960784,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Annadale,40.53811417,-74.17854866,10312,20,0,4,16,399.3,,3.039215686,1.5625,0,12.15686275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Woodrow,40.54196762,-74.20524582,10309,9,0,5,7,189.7777778,,3.039215686,1.285714286,0,15.19607843,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Tottenville,40.50533376,-74.24656934,10307,49,38,39,40,676.1353441,149.8157895,3.875465058,1.625,5693,151.1431373,65,6,8.666666667,3.5,26,10.5,0,6,181.2,4.36,906,21.8,25,1,5,2,10,1,259,4.3,259,4.3,2,429,28,26,0.071428571,2014.392857,7.142857143,14.57142857,2014.307692,7.615384615,17.03846154,16.5,,,,,
Staten Island,Tompkinsville,40.63731607,-74.08055352,10301,25,0,13,22,493.52,,3.358974359,1.409090909,0,43.66666667,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Silver Lake,40.61919311,-74.09629029,10301,10,0,4,8,721.7,,3.450980392,1.625,0,13.80392157,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Sunnyside,40.61276016,-74.09712552,10301,41,0,32,35,646.8536585,,3.845588235,1.485714286,0,123.0588235,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Park Hill,40.60919044,-74.08015735,10304,24,0,5,12,726.25,,2.960784314,1.583333333,0,14.80392157,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Westerleigh,40.62109047,-74.13304144,10302,66,46,58,57,767.231312,266.1521739,3.85,1.50877193,12243,223.3,86,20,10,4.290909091,110,47.2,0,8,87,3.9125,696,31.3,34,1,5,4,20,9,47.57142857,4.228571429,333,29.6,6,907,72,67,0.083333333,2017.263889,6.597222222,15.41666667,2017.208955,6.552238806,16.62686567,13.53731343,,,,,
Staten Island,Graniteville,40.62017151,-74.15315246,10303,25,0,18,23,747.32,,2.973856209,1.565217391,0,53.52941176,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Arlington,40.6353251,-74.1651042,10303,17,0,3,9,587.3529412,,2.333333333,1.111111111,0,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Arrochar,40.59631257,-74.06712363,10305,24,0,7,15,477.625,,2.927170868,1.533333333,0,20.49019608,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Grasmere,40.59826836,-74.07667436,10304,25,0,12,24,637.56,,3.261437908,1.666666667,0,39.1372549,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Old Town,40.59632891,-74.08751118,10305,25,0,15,24,476.76,,3.175163399,1.666666667,0,47.62745098,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Dongan Hills,40.58867295,-74.09639905,10305,25,0,16,24,483.68,,3.357843137,1.666666667,0,53.7254902,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Midland Beach,40.57352691,-74.09348266,10306,25,0,8,22,798.16,,2.901960784,1.318181818,0,23.21568627,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Grant City,40.57621559,-74.10585599,10306,25,0,22,25,547.96,,3.267379679,1.6,0,71.88235294,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,New Dorp Beach,40.56425549,-74.10432707,10306,25,0,14,24,685.2,,2.949579832,1.416666667,0,41.29411765,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
