Borough,Neighbourhood,Studio,1_Bed,2_Bed,3_Bed
Staten Island,Chelsea,2794,4062,6997,11031
Manhattan,East Village,2608,3280,4044,5289
Manhattan,Flatiron/Union Square,3632,4645,8267,15969
Manhattan,Gramercy Park,2569,3656,5413,7226
Manhattan,Greenwich Village,2828,4116,8000,12418
Manhattan,Battery Park City,2823,3573,6859,10574
Manhattan,Financial District,2955,3965,6065,10653
Manhattan,Lower East Side,2710,3524,4699,5543
Manhattan,NoHo,5121,6117,9678,16413
Manhattan,NoLiTa/Little Italy,2683,4280,4833,10648
Manhattan,SoHo,3589,4556,9711,13621
Manhattan,Tribeca,3502,5543,9650,15886
Manhattan,West Village,2765,4169,7026,11903
Manhattan,Sutton Place,2676,3622,5217,6497
Manhattan,Midtown East,2485,3613,6711,12280
Manhattan,Midtown West,2589,3680,6138,14892
Queens,Murray Hill,2474,3426,4653,6568
Manhattan,Turtle Bay/United Nations,2237,3430,5133,12517
Manhattan,Carnegie Hill,2307,3266,5547,11529
Manhattan,Lenox Hill,2316,3277,5106,8553
Manhattan,Park/Fifth Ave. to 79th St.,4289,4535,12173,26970
Manhattan,Roosevelt Island,2696,3257,4411,5445
Manhattan,Yorkville,2215,2838,4181,7084
Manhattan,Lower Manhattan,2328,3851,4616,6197
Manhattan,Central Park West,2362,3563,7266,14463
Manhattan,Lincoln Center,2662,4033,6484,9851
Manhattan,Morningside Heights,2329,2929,3179,4105
Manhattan,Riverside Dr./West End Ave.,2330,3414,5966,9020
Manhattan,East Harlem,2010,2367,3268,3880
Manhattan,Hamilton Heights,1992,2118,2589,3174
Manhattan,Harlem,1899,2389,3079,4148
Manhattan,Inwood,1657,1876,2273,2570
Manhattan,Washington Heights,1978,2039,2425,2859
Brooklyn,Bedford Stuyvesant,2044,2297,2611,3214
Brooklyn,Boerum Hill,2092,2854,4356,4921
Brooklyn,Brooklyn Heights,2509,3270,5983,8654
Brooklyn,Bushwick,2050,2373,2749,2851
Brooklyn,Carroll Gardens,2271,2634,3914,5027
Brooklyn,Clinton Hill,2409,2776,3450,4204
Brooklyn,Cobble Hill,2100,2734,4222,6122
Brooklyn,Crown Heights,1806,2310,2582,3185
Brooklyn,Downtown Brooklyn,2443,3218,4548,6048
Brooklyn,DUMBO,3189,4132,6086,9144
Brooklyn,Fort Greene,2957,2508,4213,6760
Brooklyn,Gowanus,2293,2796,3588,3687
Brooklyn,Greenpoint,2347,2812,3708,5278
Brooklyn,Kensington,1724,1866,2925,3215
Brooklyn,Park Slope,2795,2739,3422,4883
Brooklyn,Prospect Heights,2393,2823,3621,4320
Brooklyn,Prospect Lefferts Gardens,1933,2094,2911,3423
Brooklyn,Red Hook,,2300,4287,
Brooklyn,South Slope - Greenwood Heights,2400,2248,2780,4000
Brooklyn,Sunset Park,1400,1912,2300,2500
Brooklyn,Williamsburg,2712,3166,4043,5081
Brooklyn,Windsor Terrace,1939,2563,2877,3679
