Name,Price,Rating,Reviews,Borough,Neighborhood,Address,Zipcode,Latitude,Longitude,Category
New China Garden,1.0,3.9,85.0,Bronx,Northeast Bronx,"724 Nereid Avenue, The Bronx",10466.0,40.897919,-73.8533641,restaurant
El Jobo,,3.3,216.0,Bronx,Northeast Bronx,"748 East 233rd Street, The Bronx",10466.0,40.8926776,-73.8556318,restaurant
Paula's,2.0,3.9,697.0,Bronx,Northeast Bronx,"746 East 233rd Street, The Bronx",10466.0,40.8926923,-73.8556779,restaurant
Jerk House Caribbean Restaurant,,4.2,429.0,Bronx,Northeast Bronx,"4246 White Plains Road, The Bronx",10466.0,40.8946626,-73.85640029999999,restaurant
McDonald's,1.0,3.7,653.0,Bronx,Northeast Bronx,"4174 White Plains Road, The Bronx",10466.0,40.892779,-73.85747300000001,restaurant
Last Stop Bar & Grill,,4.1,362.0,Bronx,Northeast Bronx,"4609 White Plains Road, The Bronx",10470.0,40.9023957,-73.8516101,restaurant
Tony's Pizza,2.0,4.1,172.0,Bronx,Northeast Bronx,"4189 White Plains Road A, The Bronx",10466.0,40.8933356,-73.8576464,restaurant
Domino's Pizza,1.0,2.2,453.0,Bronx,Northeast Bronx,"686C Nereid Avenue, The Bronx",10470.0,40.8984426,-73.8548505,restaurant
Burger King,1.0,3.3,1050.0,Bronx,Northeast Bronx,"4275 White Plains Road, The Bronx",10466.0,40.89554179999999,-73.8564655,restaurant
Ali's Roti Shop,1.0,4.2,545.0,Bronx,Northeast Bronx,"4220 White Plains Road, The Bronx",10466.0,40.8940296,-73.8568253,restaurant
Olive’s Food Market,,3.9,92.0,Bronx,Northeast Bronx,"4200 Baychester Avenue, The Bronx",10466.0,40.89571,-73.8444416,restaurant
Nereid Cafe Family Pizzeria Corporation,,1.0,1.0,Bronx,Northeast Bronx,"1840 Nereid Avenue, The Bronx",10466.0,40.8984716,-73.84876369999999,restaurant
Country Thyme Cuisine,2.0,4.1,514.0,Bronx,Northeast Bronx,"1455 East 222nd Street, The Bronx",10469.0,40.8769068,-73.8376521,restaurant
Dragon City,2.0,3.9,254.0,Bronx,Northeast Bronx,"2102 Bartow Avenue, The Bronx",10475.0,40.869009,-73.826028,restaurant
Dallas BBQ (Co-op City),2.0,4.0,3086.0,Bronx,Northeast Bronx,"2160 Bartow Avenue, The Bronx",10475.0,40.8679248,-73.82471009999999,restaurant
Capri II Pizzeria,1.0,4.1,260.0,Bronx,Northeast Bronx,"149 Dreiser Loop, The Bronx",10475.0,40.87638849999999,-73.8298416,restaurant
Guang Hui,,3.7,101.0,Bronx,Northeast Bronx,"125 Dreiser Loop, The Bronx",10475.0,40.87638219999999,-73.82899909999999,restaurant
Kennedy Fried Chicken,1.0,3.3,56.0,Bronx,Northeast Bronx,"157 Dreiser Loop, The Bronx",10475.0,40.8765471,-73.8297317,restaurant
Jimmy's Cafe,,4.5,2.0,Bronx,Northeast Bronx,The Bronx,10475.0,40.8708417,-73.8309733,restaurant
Hong Hsi,2.0,3.9,598.0,Bronx,Northeast Bronx,"2051 Bartow Avenue, The Bronx",10475.0,40.8704952,-73.8290809,restaurant
Arby's,1.0,4.0,289.0,Bronx,Northeast Bronx,"2059 Bartow Avenue, The Bronx",10475.0,40.87041129999999,-73.828606,restaurant
Xin Hi,,4.0,43.0,Bronx,Northeast Bronx,"2051 Bartow Avenue, The Bronx",10475.0,40.87028059999999,-73.8284376,restaurant
PIZZA CHOP,,5.0,4.0,Bronx,Northeast Bronx,"2045 Bartow Avenue, The Bronx",10475.0,40.8700986,-73.8293477,restaurant
Bowlerland,,3.8,1060.0,Bronx,Northeast Bronx,"2417 Hollers Avenue, The Bronx",10475.0,40.8860482,-73.82336,restaurant
IHOP,1.0,4.1,2564.0,Bronx,Northeast Bronx,"4340 Boston Post Road, The Bronx",10475.0,40.889929,-73.8194602,restaurant
Mingles Ultra Lounge,2.0,4.2,829.0,Bronx,Northeast Bronx,"4012 Boston Road, The Bronx",10475.0,40.8838584,-73.8324938,restaurant
Cozy Cottage,1.0,4.3,434.0,Bronx,Northeast Bronx,"4105 Boston Road, The Bronx",10466.0,40.8863908,-73.8276645,restaurant
Kennedy Fried Chicken,1.0,4.0,62.0,Bronx,Northeast Bronx,"3816 Dyre Avenue, The Bronx",10466.0,40.88842959999999,-73.8311468,restaurant
Xinglung,1.0,4.1,103.0,Bronx,Northeast Bronx,"3828 Dyre Avenue # B, The Bronx",10466.0,40.8888276,-73.83112779999999,restaurant
Taco Bell,1.0,3.8,1723.0,Bronx,Northeast Bronx,"3351 Conner Street, The Bronx",10475.0,40.88286859999999,-73.8247097,restaurant
Jimmy Best Chinese,1.0,4.5,285.0,Bronx,Northeast Bronx,"4004 Boston Road, The Bronx",10475.0,40.883891,-73.8330495,restaurant
Smashburger,2.0,4.1,1537.0,Bronx,Northeast Bronx,"4325 Boston Road, The Bronx",10466.0,40.8901378,-73.82062549999999,restaurant
Dyre Ave Diner,1.0,4.1,280.0,Bronx,Northeast Bronx,"3803 Dyre Avenue, The Bronx",10466.0,40.8880141,-73.83159110000001,restaurant
Wendy's,1.0,3.7,2346.0,Bronx,Northeast Bronx,"4330 Boston Road, The Bronx",10475.0,40.8895974,-73.8199429,restaurant
Prime 33 Banquet hall #1,2.0,4.3,150.0,Bronx,Northeast Bronx,"3323 Merritt Avenue, The Bronx",10475.0,40.8817875,-73.8267549,restaurant
