Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Manhattan,Marble Hill,40.87655078,-73.91065966,10034,25,0,17,25,639.96,,3.343713956,1.28,0,56.84313725,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,Chinatown,40.71561842,-73.99427936,10002,25,0,25,22,381.08,,4.432156863,1.772727273,0,110.8039216,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,Washington Heights,40.85190253,-73.93690028,10032,33,8,33,28,576.879513,47.875,3.757278669,1.607142857,383,123.9901961,45,4,7.5,4.35,15,8.7,0,5,608.75,4.425,2435,17.7,,,,,,1,676,3.9,676,3.9,24,3085,274,251,0.087591241,2016.310219,6.551094891,16.11313869,2016.346614,6.980079681,15.98007968,12.29083665,18,18,7.444444444,16.55555556,1
Manhattan,Inwood,40.86768396,-73.92121042,10034,62,43,60,59,567.8278978,515.0930233,3.748039216,1.610169492,22149,224.8823529,95,18,21.57142857,4.207142857,302,58.9,0,17,307.6923077,4.607692308,4000,59.9,16,21.9,3.53,219,35.3,12,255.3636364,4.218181818,2809,46.4,26,2562,217,191,0.119815668,2017.437788,6.926267281,16.23963134,2017.633508,7.219895288,15.92670157,13.41361257,3,3,7,22,1
Manhattan,Hamilton Heights,40.82360428,-73.94968792,10039,30,5,30,29,596.3656548,392,3.767058824,1.655172414,1960,113.0117647,48,2,7,4.4,14,8.8,0,1,586,4.3,586,4.3,,,,,,3,1024.666667,3.766666667,3074,11.3,10,1297,115,105,0.086956522,2018.017391,6.591304348,14.51304348,2018.057143,6.933333333,14.77142857,12.35238095,4,4,7.25,15.5,1
Manhattan,Manhattanville,40.81693443,-73.95738539,10031,49,30,49,45,518.4714527,421.7,3.88947579,1.844444444,12651,190.5843137,83,10,21.75,3.65,174,29.2,0,18,291.375,4.13125,4662,66.1,18,1,3,2,6,8,401.8571429,3.957142857,2813,27.7,35,3120,412,380,0.084951456,2016.966019,6.47815534,15.24029126,2017.078947,6.594736842,16.69210526,8.210526316,8,8,7.5,14.875,1
Manhattan,Central Harlem,40.81597607,-73.94321113,10030,40,20,40,38,545.4282108,882.3,3.900588235,1.710526316,17646,156.0235294,65,14,10.91666667,3.933333333,131,47.2,0,16,491,4.406666667,7365,66.1,10,1,5,1,5,10,213.4444444,3.866666667,1921,34.8,53,7555,829,779,0.063932449,2017.658625,6.806996381,15.7358263,2017.690629,6.876765083,15.35173299,9.698331194,33,33,7.181818182,18.42424242,1
Manhattan,East Harlem,40.79224947,-73.94418223,10035,45,22,45,43,618.7680041,742.5454545,4.018649237,1.627906977,16336,180.8392157,70,19,19.8125,3.9375,317,63,0,34,219.28125,4.265625,7017,136.5,14,1.428571429,3.071428571,10,21.5,12,376.3333333,4.133333333,4516,49.6,56,5431,604,548,0.092715232,2017.347682,6.501655629,16.11092715,2017.54927,6.731751825,15.75547445,9.910583942,97,97,7.020618557,16.91752577,1
Manhattan,Upper East Side,40.77563857,-73.96050763,10028,53,29,53,53,453.16,849.8965517,4.240473548,2.075471698,24647,224.745098,110,28,29.57692308,4.342307692,769,112.9,0,31,177.5454545,4.540909091,3906,99.9,38,26.75,4.3,321,51.6,10,404.4,3.97,4044,39.7,40,3789,399,363,0.100250627,2016.546366,6.458646617,15.62656642,2016.787879,6.556473829,16.6969697,10.43801653,673,673,6.684992571,16.34026746,1
Manhattan,Yorkville,40.77592985,-73.94711784,10075,25,0,25,25,434.52,,4.290980392,1.76,0,107.2745098,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
