Distance (m),Name,Neighbourhood,Zipcode,Reviews,Rating,Price,Latitude,Longitude,Borough,Category
127,Lollipops Gelato,Northeast Bronx,10466,,4.215686275,1,40.89470518,-73.84720052,Bronx,restaurant
821,Ali's Roti Shop,Northeast Bronx,10466,545,4,1,40.894,-73.85684,Bronx,restaurant
983,Jimbo's Hamburger Palace,Northeast Bronx,10466,24,3,1,40.891804,-73.858604,Bronx,restaurant
454,Cooler Runnings Jamaican Restaurant,Northeast Bronx,10466,50,3,1,40.898157,-73.85029,Bronx,restaurant
902,McDonald's,Northeast Bronx,10470,,2.725490196,1,40.89470518,-73.84720052,Bronx,restaurant
832,E & L Bakery,Northeast Bronx,10466,,2.647058824,1,40.89470518,-73.84720052,Bronx,restaurant
752,Popeyes Louisiana Kitchen,Northeast Bronx,10466,467,2.647058824,1,40.89470518,-73.84720052,Bronx,restaurant
448,Lammy's Restaurant,Northeast Bronx,10466,,,2,40.89470518,-73.84720052,Bronx,restaurant
622,New China Elim,Northeast Bronx,10466,,,2,40.89470518,-73.84720052,Bronx,restaurant
702,Rincon Latino Restaura,Northeast Bronx,10466,,,2,40.89470518,-73.84720052,Bronx,restaurant
708,H.I.M Ital Health Food Market,Northeast Bronx,10466,47,4.5,1,40.897633,-73.854665,Bronx,restaurant
889,McDonald's,Northeast Bronx,10466,653,1.941176471,1,40.89470518,-73.84720052,Bronx,restaurant
727,M & Y Gourmet Deli,Northeast Bronx,10470,,,1,40.89470518,-73.84720052,Bronx,restaurant
751,El Jobo Seafood Restaurant,Northeast Bronx,10466,19,2,1,40.89273736,-73.85543458,Bronx,restaurant
803,Top Choice,Northeast Bronx,10470,,,2,40.89470518,-73.84720052,Bronx,restaurant
804,Carifesta Restaurant,Northeast Bronx,10466,133,4,1,40.89485,-73.8568,Bronx,restaurant
808,Dragon Star Chinese Food,Northeast Bronx,10466,,,1,40.89470518,-73.84720052,Bronx,restaurant
810,Wakefield Deli,Northeast Bronx,10470,,,1,40.89470518,-73.84720052,Bronx,restaurant
810,Jerk House,Northeast Bronx,10466,62,3.5,2,40.89464,-73.85648,Bronx,restaurant
845,Original Joe's Pizza,Northeast Bronx,10466,,,1,40.89470518,-73.84720052,Bronx,restaurant
866,Kennedy Fried Chicken & Pizza,Northeast Bronx,10466,,,1,40.89470518,-73.84720052,Bronx,restaurant
866,New Double Dragon Chinese,Northeast Bronx,10466,,,1,40.89470518,-73.84720052,Bronx,restaurant
734,Panera Bread,Northeast Bronx,10475,1035,2.5,2,40.86786629,-73.82784471,Bronx,restaurant
1058,Bagel Cafe,Northeast Bronx,10475,,4.215686275,1,40.87429419,-73.82993911,Bronx,restaurant
631,Red Lobster,Northeast Bronx,10475,2552,2.5,2,40.86906084,-73.826987,Bronx,restaurant
715,Country Thyme Cuisine,Northeast Bronx,10469,514,3.5,2,40.876929,-73.837617,Bronx,restaurant
542,Sangria Cafe,Northeast Bronx,10475,1218,3.5,2,40.8694235,-73.82728496,Bronx,restaurant
678,Chipotle Mexican Grill,Northeast Bronx,10475,23,2,1,40.868854,-73.82627,Bronx,restaurant
459,Bagels On Bartow,Northeast Bronx,10475,69,4,1,40.8692951,-73.8299709,Bronx,restaurant
639,Popeyes Louisiana Kitchen,Northeast Bronx,10475,1330,2,1,40.868622,-73.83113,Bronx,restaurant
774,Shake Shack,Northeast Bronx,10475,,2.725490196,1,40.87429419,-73.82993911,Bronx,restaurant
805,Dallas BBQ,Northeast Bronx,10475,300,2.5,2,40.86792379,-73.8247076,Bronx,restaurant
709,Pizza Hut,Northeast Bronx,10469,439,2,1,40.8686267,-73.83380771,Bronx,restaurant
623,McDonald's,Northeast Bronx,10475,2360,2,1,40.86870592,-73.83058532,Bronx,restaurant
231,Capri II Pizzeria,Northeast Bronx,10475,260,3,1,40.87635204,-73.82982819,Bronx,restaurant
218,Town House Restaurant,Northeast Bronx,10475,,2.019607843,2,40.87429419,-73.82993911,Bronx,restaurant
1163,"""""""""""""Nathan's Famous""""""""""""",Northeast Bronx,10475,,2.490196078,1,40.87429419,-73.82993911,Bronx,restaurant
271,Guang Hui Restaurant Inc.,Northeast Bronx,10475,,,1,40.87429419,-73.82993911,Bronx,restaurant
1060,Dragon City,Northeast Bronx,10475,254,3,1,40.869,-73.82613,Bronx,restaurant
884,Golden Krust Caribbean Restaurant,Northeast Bronx,10475,20,2.5,2,40.880683,-73.827021,Bronx,restaurant
2481,The Dumplin Shop,Northeast Bronx,10469,,2.725490196,2,40.87429419,-73.82993911,Bronx,restaurant
459,Bartow Pizza,Northeast Bronx,10475,,,1,40.87429419,-73.82993911,Bronx,restaurant
599,BBQ's,Northeast Bronx,10475,,,2,40.87429419,-73.82993911,Bronx,restaurant
650,New Green Dragon,Northeast Bronx,10475,,,2,40.87429419,-73.82993911,Bronx,restaurant
691,Joyful Dragon Chinese Restaurant,Northeast Bronx,10469,,,1,40.87429419,-73.82993911,Bronx,restaurant
824,Golden Glow Cookie Co.,Northeast Bronx,10469,,,1,40.87429419,-73.82993911,Bronx,restaurant
842,Baychester Deli Grocery,Northeast Bronx,10475,,,1,40.87429419,-73.82993911,Bronx,restaurant
136,Cozy Cottage,Northeast Bronx,10466,434,3.980392157,1,40.88755568,-73.82780645,Bronx,restaurant
241,Fish N' Ting,Northeast Bronx,10466,327,4,2,40.885723,-73.829075,Bronx,restaurant
559,Taco Bell,Northeast Bronx,10475,1723,2,1,40.88271653,-73.82483593,Bronx,restaurant
313,Mario's Pizzeria,Northeast Bronx,10466,255,4,1,40.88864,-73.83104,Bronx,restaurant
363,Dyre Fish Market,Northeast Bronx,10466,52,4,2,40.88888,-73.83094,Bronx,restaurant
672,Smashburger,Northeast Bronx,10466,1537,3.666666667,2,40.88755568,-73.82780645,Bronx,restaurant
743,IHOP,Northeast Bronx,10475,2564,3.5,2,40.88995,-73.81942,Bronx,restaurant
294,Golden Krust Caribbean Bakery And Grill,Northeast Bronx,10466,,2.725490196,2,40.88755568,-73.82780645,Bronx,restaurant
698,Wendy’s,Northeast Bronx,10475,,2.960784314,1,40.88755568,-73.82780645,Bronx,restaurant
555,Best Chinese Restaurant,Northeast Bronx,10475,,2.725490196,1,40.88755568,-73.82780645,Bronx,restaurant
301,Dyre Deli Grocery,Northeast Bronx,10466,,2.490196078,1,40.88755568,-73.82780645,Bronx,restaurant
553,Mingles,Northeast Bronx,10475,31,2.5,2,40.8846189,-73.8318809,Bronx,restaurant
332,Royal Caribbean Jamaican Bakery,Northeast Bronx,10466,12,3.5,2,40.88809653,-73.83134948,Bronx,restaurant
372,Faity's Kitchen,Northeast Bronx,10466,,2.019607843,2,40.88755568,-73.82780645,Bronx,restaurant
306,Dyre Ave Diner,Northeast Bronx,10466,280,3.5,1,40.887966,-73.831612,Bronx,restaurant
312,Rayan Candy & Newspaper,Northeast Bronx,10466,,,1,40.88755568,-73.82780645,Bronx,restaurant
905,An Beal Bocht Cafe,Kingsbridge and Riverdale,10463,534,4,2,40.88738,-73.90498,Bronx,restaurant
938,Tin Marin,Kingsbridge and Riverdale,10463,358,4,2,40.88702968,-73.90683753,Bronx,restaurant
923,Fenwick's Bar & Grill,Kingsbridge and Riverdale,10463,,4.294117647,2,40.89543743,-73.9056426,Bronx,restaurant
909,Yo-Burger,Kingsbridge and Riverdale,10463,817,4,2,40.88739,-73.90695,Bronx,restaurant
757,Tortoise & Hare,Kingsbridge and Riverdale,10471,442,4.5,1,40.89415,-73.89668,Bronx,restaurant
892,Greek Express,Kingsbridge and Riverdale,10463,296,4,2,40.88746513,-73.90755916,Bronx,restaurant
876,Salvatores of Soho,Kingsbridge and Riverdale,10463,331,4,2,40.8875232,-73.90704,Bronx,restaurant
798,Jake's Steakhouse,Kingsbridge and Riverdale,10471,,3.117647059,3,40.89543743,-73.9056426,Bronx,restaurant
987,Rolen Bagels,Kingsbridge and Riverdale,10463,,3.196078431,1,40.89543743,-73.9056426,Bronx,restaurant
874,Burrito Shop,Kingsbridge and Riverdale,10471,,3.117647059,1,40.89543743,-73.9056426,Bronx,restaurant
859,Broadway Joe's Pizza,Kingsbridge and Riverdale,10471,247,4,1,40.8899,-73.89846,Bronx,restaurant
985,Tiny's Diner,Kingsbridge and Riverdale,10463,223,3,2,40.88674112,-73.90720452,Bronx,restaurant
920,Jasper's Deli,Kingsbridge and Riverdale,10463,,2.647058824,1,40.89543743,-73.9056426,Bronx,restaurant
908,New Riverdale Deli,Kingsbridge and Riverdale,10463,,2.568627451,1,40.89543743,-73.9056426,Bronx,restaurant
802,Burger King,Kingsbridge and Riverdale,10471,1162,2.333333333,1,40.89543743,-73.9056426,Bronx,restaurant
798,Asian Tokyo,Kingsbridge and Riverdale,10471,29,3.5,2,40.89104728,-73.89824483,Bronx,restaurant
849,Gourmet Market and Bagel,Kingsbridge and Riverdale,10471,,,1,40.89543743,-73.9056426,Bronx,restaurant
856,Stiff Weasel,Kingsbridge and Riverdale,10471,,,1,40.89543743,-73.9056426,Bronx,restaurant
861,Blue Charcoal Grill,Kingsbridge and Riverdale,10471,,,2,40.89543743,-73.9056426,Bronx,restaurant
868,Estrellita Poblana Taqueria Express,Kingsbridge and Riverdale,10471,52,3.5,1,40.8897,-73.89853,Bronx,restaurant
872,The Last Stop,Kingsbridge and Riverdale,10471,119,4.5,2,40.88976,-73.89854,Bronx,restaurant
877,Best Deli And Grill,Kingsbridge and Riverdale,10471,,,1,40.89543743,-73.9056426,Bronx,restaurant
932,Taste of the Palace,Kingsbridge and Riverdale,10463,,,2,40.89543743,-73.9056426,Bronx,restaurant
915,Corner Cafe & Bakery,Kingsbridge and Riverdale,10463,164,1.62745098,1,40.89543743,-73.9056426,Bronx,restaurant
717,Locke’s Dinning Hall,Kingsbridge and Riverdale,10471,,,,40.89543743,-73.9056426,Bronx,restaurant
546,Blue Bay Restaurant,Kingsbridge and Riverdale,10463,192,4.137254902,2,40.89083449,-73.91258546,Bronx,restaurant
632,Liebman's Kosher Deli,Kingsbridge and Riverdale,10463,,4.137254902,2,40.89083449,-73.91258546,Bronx,restaurant
687,Cocina Chente,Kingsbridge and Riverdale,10463,578,4,2,40.88620633,-73.90719513,Bronx,restaurant
593,Palace of Japan,Kingsbridge and Riverdale,10463,204,3.5,2,40.88612,-73.91,Bronx,restaurant
676,The Hill Bistro,Kingsbridge and Riverdale,10463,,3.666666667,2,40.89083449,-73.91258546,Bronx,restaurant
652,Moss Cafe,Kingsbridge and Riverdale,10463,168,4,2,40.88529937,-73.90994947,Bronx,restaurant
609,Pizza Chef,Kingsbridge and Riverdale,10463,93,3.5,1,40.88555527,-73.91035461,Bronx,restaurant
809,Goodfellas Pizza & Pasta,Kingsbridge and Riverdale,10463,,3.117647059,1,40.89083449,-73.91258546,Bronx,restaurant
599,Blackstone Bar & Grill,Kingsbridge and Riverdale,10463,302,4,2,40.88736117,-73.90714221,Bronx,restaurant
535,Bella Notte Pizzeria,Kingsbridge and Riverdale,10463,,2.803921569,2,40.89083449,-73.91258546,Bronx,restaurant
572,Metate,Kingsbridge and Riverdale,10463,289,3,2,40.8860208,-73.9100364,Bronx,restaurant
565,Bagel Corner,Kingsbridge and Riverdale,10463,,2.568627451,1,40.89083449,-73.91258546,Bronx,restaurant
539,Cumin Indian Restaurant,Kingsbridge and Riverdale,10463,,2.098039216,2,40.89083449,-73.91258546,Bronx,restaurant
536,Neem,Kingsbridge and Riverdale,10463,,,2,40.89083449,-73.91258546,Bronx,restaurant
556,Moon Star Grill,Kingsbridge and Riverdale,10463,128,4,2,40.88610893,-73.90990877,Bronx,restaurant
328,Kingsbridge Social Club,Kingsbridge and Riverdale,10463,669,4.5,2,40.88455,-73.90194,Bronx,restaurant
418,Bronx Ale House,Kingsbridge and Riverdale,10463,,4.450980392,2,40.88168737,-73.90281799,Bronx,restaurant
533,Tibbett Diner,Kingsbridge and Riverdale,10463,761,4,1,40.88038,-73.90906,Bronx,restaurant
357,Sam's Pizza,Kingsbridge and Riverdale,10463,154,4.5,1,40.87939,-73.90601,Bronx,restaurant
350,Smashburger,Kingsbridge and Riverdale,10463,853,3.5,2,40.88442,-73.90034,Bronx,restaurant
372,The Bronx Public,Kingsbridge and Riverdale,10463,808,4,2,40.87827,-73.90341,Bronx,restaurant
295,El Malecon Restaurant,Kingsbridge and Riverdale,10463,,3.745098039,2,40.88168737,-73.90281799,Bronx,restaurant
457,Tilila Casa Publica & Cocina,Kingsbridge and Riverdale,10463,,3.745098039,2,40.88168737,-73.90281799,Bronx,restaurant
364,Estrellita Poblana V,Kingsbridge and Riverdale,10463,,3.588235294,1,40.88168737,-73.90281799,Bronx,restaurant
367,Buffalo Wild Wings,Kingsbridge and Riverdale,10463,1934,3.588235294,1,40.88168737,-73.90281799,Bronx,restaurant
425,S&S Cheesecake,Kingsbridge and Riverdale,10463,198,4.5,2,40.88471822,-73.8995529,Bronx,restaurant
375,Chipotle Mexican Grill,Kingsbridge and Riverdale,10463,835,3.352941176,1,40.88168737,-73.90281799,Bronx,restaurant
173,IHOP,Kingsbridge and Riverdale,10463,2485,2.647058824,2,40.88168737,-73.90281799,Bronx,restaurant
769,Indian Road Cafe,Inwood and Washington Heights,10034,,4.058823529,2,40.87655078,-73.91065966,Manhattan,restaurant
920,Guacamole Taqueria,Inwood and Washington Heights,10034,,3.745098039,1,40.87655078,-73.91065966,Manhattan,restaurant
661,Park Terrace Deli,Inwood and Washington Heights,10034,,3.431372549,1,40.87655078,-73.91065966,Manhattan,restaurant
848,Brown Sugar Restaurant,Inwood and Washington Heights,10034,270,3.5,3,40.869926,-73.915466,Manhattan,restaurant
1003,Liffy II Bar,Inwood and Washington Heights,10034,,3.352941176,2,40.87655078,-73.91065966,Manhattan,restaurant
489,Auntie Anne's,Kingsbridge and Riverdale,10463,,2.803921569,1,40.87655078,-73.91065966,Bronx,restaurant
671,KFC,Kingsbridge and Riverdale,10463,,2.333333333,1,40.87655078,-73.91065966,Bronx,restaurant
168,151 Grocery/Deli,Kingsbridge and Riverdale,10463,,,1,40.87655078,-73.91065966,Bronx,restaurant
219,Taqueria Sinaloense,Kingsbridge and Riverdale,10463,20,4.5,1,40.87453194,-73.91070763,Bronx,restaurant
226,El Guacamole Restaurant,Kingsbridge and Riverdale,10463,,,1,40.87655078,-73.91065966,Bronx,restaurant
245,China Wang,Kingsbridge and Riverdale,10463,,,1,40.87655078,-73.91065966,Bronx,restaurant
687,Twin Donut,Inwood and Washington Heights,10034,,1.941176471,1,40.87655078,-73.91065966,Manhattan,restaurant
