Manhattan,Staten Island,Bronx,Queens,Brooklyn
10001,10301,10451,11004,11201
10002,10302,10452,11005,11202
10003,10303,10453,11006,11203
10004,10304,10454,11007,11204
10005,10305,10455,11008,11205
10006,10306,10456,11009,11206
10007,10307,10457,11010,11207
10008,10308,10458,11011,11208
10009,10309,10459,11012,11209
10010,10310,10460,11013,11210
10011,10311,10461,11014,11211
10012,10312,10462,11015,11212
10013,10313,10463,11016,11213
10014,10314,10464,11017,11214
10015,,10465,11018,11215
10016,,10466,11019,11216
10017,,10467,11020,11217
10018,,10468,11021,11218
10019,,10469,11022,11219
10020,,10470,11023,11220
10021,,10471,11024,11221
10022,,10472,11025,11222
10023,,10473,11026,11223
10024,,10474,11027,11224
10025,,10475,11028,11225
10026,,,11029,11226
10027,,,11030,11227
10028,,,11031,11228
10029,,,11032,11229
10030,,,11033,11230
10031,,,11034,11231
10032,,,11035,11232
10033,,,11036,11233
10034,,,11037,11234
10035,,,11038,11235
10036,,,11039,11236
10037,,,11040,11237
10038,,,11041,11238
10039,,,11042,11239
10040,,,11043,11240
10041,,,11044,11241
10042,,,11045,11242
10043,,,11046,11243
10044,,,11047,11244
10045,,,11048,11245
10046,,,11049,11246
10047,,,11050,11247
10048,,,11051,11248
10049,,,11052,11249
10050,,,11053,11250
10051,,,11054,11251
10052,,,11055,11252
10053,,,11056,11253
10054,,,11057,11254
10055,,,11058,11255
10056,,,11059,11256
10057,,,11060,
10058,,,11061,
10059,,,11062,
10060,,,11063,
10061,,,11064,
10062,,,11065,
10063,,,11066,
10064,,,11067,
10065,,,11068,
10066,,,11069,
10067,,,11070,
10068,,,11071,
10069,,,11072,
10070,,,11073,
10071,,,11074,
10072,,,11075,
10073,,,11076,
10074,,,11077,
10075,,,11078,
10076,,,11079,
10077,,,11080,
10078,,,11081,
10079,,,11082,
10080,,,11083,
10081,,,11084,
10082,,,11085,
10083,,,11086,
10084,,,11087,
10085,,,11088,
10086,,,11089,
10087,,,11090,
10088,,,11091,
10089,,,11092,
10090,,,11093,
10091,,,11094,
10092,,,11095,
10093,,,11096,
10094,,,11097,
10095,,,11098,
10096,,,11099,
10097,,,11100,
10098,,,11101,
10099,,,11102,
10100,,,11103,
10101,,,11104,
10102,,,11105,
10103,,,11106,
10104,,,11107,
10105,,,11108,
10106,,,11109,
10107,,,11351,
10108,,,11352,
10109,,,11353,
10110,,,11354,
10111,,,11355,
10112,,,11356,
10113,,,11357,
10114,,,11358,
10115,,,11359,
10116,,,11360,
10117,,,11361,
10118,,,11362,
10119,,,11363,
10120,,,11364,
10121,,,11365,
10122,,,11366,
10123,,,11367,
10124,,,11368,
10125,,,11369,
10126,,,11370,
10127,,,11371,
10128,,,11372,
10129,,,11373,
10130,,,11374,
10131,,,11375,
10132,,,11376,
10133,,,11377,
10134,,,11378,
10135,,,11379,
10136,,,11380,
10137,,,11381,
10138,,,11382,
10139,,,11383,
10140,,,11384,
10141,,,11385,
10142,,,11386,
10143,,,11387,
10144,,,11388,
10145,,,11389,
10146,,,11390,
10147,,,11391,
10148,,,11392,
10149,,,11393,
10150,,,11394,
10151,,,11395,
10152,,,11396,
10153,,,11397,
10154,,,11398,
10155,,,11399,
10156,,,11400,
10157,,,11401,
10158,,,11402,
10159,,,11403,
10160,,,11404,
10161,,,11405,
10162,,,11406,
10163,,,11407,
10164,,,11408,
10165,,,11409,
10166,,,11410,
10167,,,11411,
10168,,,11412,
10169,,,11413,
10170,,,11414,
10171,,,11415,
10172,,,11416,
10173,,,11417,
10174,,,11418,
10175,,,11419,
10176,,,11420,
10177,,,11421,
10178,,,11422,
10179,,,11423,
10180,,,11424,
10181,,,11425,
10182,,,11426,
10183,,,11427,
10184,,,11428,
10185,,,11429,
10186,,,11430,
10187,,,11431,
10188,,,11432,
10189,,,11433,
10190,,,11434,
10191,,,11435,
10192,,,11436,
10193,,,11437,
10194,,,11438,
10195,,,11439,
10196,,,11440,
10197,,,11441,
10198,,,11442,
10199,,,11443,
10200,,,11444,
10201,,,11445,
10202,,,11446,
10203,,,11447,
10204,,,11448,
10205,,,11449,
10206,,,11450,
10207,,,11451,
10208,,,11452,
10209,,,11453,
10210,,,11454,
10211,,,11455,
10212,,,11456,
10213,,,11457,
10214,,,11458,
10215,,,11459,
10216,,,11460,
10217,,,11461,
10218,,,11462,
10219,,,11463,
10220,,,11464,
10221,,,11465,
10222,,,11466,
10223,,,11467,
10224,,,11468,
10225,,,11469,
10226,,,11470,
10227,,,11471,
10228,,,11472,
10229,,,11473,
10230,,,11474,
10231,,,11475,
10232,,,11476,
10233,,,11477,
10234,,,11478,
10235,,,11479,
10236,,,11480,
10237,,,11481,
10238,,,11482,
10239,,,11483,
10240,,,11484,
10241,,,11485,
10242,,,11486,
10243,,,11487,
10244,,,11488,
10245,,,11489,
10246,,,11490,
10247,,,11491,
10248,,,11492,
10249,,,11493,
10250,,,11494,
10251,,,11495,
10252,,,11496,
10253,,,11497,
10254,,,11498,
10255,,,11499,
10256,,,11500,
10257,,,11501,
10258,,,11502,
10259,,,11503,
10260,,,11504,
10261,,,11505,
10262,,,11506,
10263,,,11507,
10264,,,11508,
10265,,,11509,
10266,,,11510,
10267,,,11511,
10268,,,11512,
10269,,,11513,
10270,,,11514,
10271,,,11515,
10272,,,11516,
10273,,,11517,
10274,,,11518,
10275,,,11519,
10276,,,11520,
10277,,,11521,
10278,,,11522,
10279,,,11523,
10280,,,11524,
10281,,,11525,
10282,,,11526,
,,,11527,
,,,11528,
,,,11529,
,,,11530,
,,,11531,
,,,11532,
,,,11533,
,,,11534,
,,,11535,
,,,11536,
,,,11537,
,,,11538,
,,,11539,
,,,11540,
,,,11541,
,,,11542,
,,,11543,
,,,11544,
,,,11545,
,,,11546,
,,,11547,
,,,11548,
,,,11549,
,,,11550,
,,,11551,
,,,11552,
,,,11553,
,,,11554,
,,,11555,
,,,11556,
,,,11557,
,,,11558,
,,,11559,
,,,11560,
,,,11561,
,,,11562,
,,,11563,
,,,11564,
,,,11565,
,,,11566,
,,,11567,
,,,11568,
,,,11569,
,,,11570,
,,,11571,
,,,11572,
,,,11573,
,,,11574,
,,,11575,
,,,11576,
,,,11577,
,,,11578,
,,,11579,
,,,11580,
,,,11581,
,,,11582,
,,,11583,
,,,11584,
,,,11585,
,,,11586,
,,,11587,
,,,11588,
,,,11589,
,,,11590,
,,,11591,
,,,11592,
,,,11593,
,,,11594,
,,,11595,
,,,11596,
,,,11597,
,,,11598,
,,,11599,
,,,11600,
,,,11601,
,,,11602,
,,,11603,
,,,11604,
,,,11605,
,,,11606,
,,,11607,
,,,11608,
,,,11609,
,,,11610,
,,,11611,
,,,11612,
,,,11613,
,,,11614,
,,,11615,
,,,11616,
,,,11617,
,,,11618,
,,,11619,
,,,11620,
,,,11621,
,,,11622,
,,,11623,
,,,11624,
,,,11625,
,,,11626,
,,,11627,
,,,11628,
,,,11629,
,,,11630,
,,,11631,
,,,11632,
,,,11633,
,,,11634,
,,,11635,
,,,11636,
,,,11637,
,,,11638,
,,,11639,
,,,11640,
,,,11641,
,,,11642,
,,,11643,
,,,11644,
,,,11645,
,,,11646,
,,,11647,
,,,11648,
,,,11649,
,,,11650,
,,,11651,
,,,11652,
,,,11653,
,,,11654,
,,,11655,
,,,11656,
,,,11657,
,,,11658,
,,,11659,
,,,11660,
,,,11661,
,,,11662,
,,,11663,
,,,11664,
,,,11665,
,,,11666,
,,,11667,
,,,11668,
,,,11669,
,,,11670,
,,,11671,
,,,11672,
,,,11673,
,,,11674,
,,,11675,
,,,11676,
,,,11677,
,,,11678,
,,,11679,
,,,11680,
,,,11681,
,,,11682,
,,,11683,
,,,11684,
,,,11685,
,,,11686,
,,,11687,
,,,11688,
,,,11689,
,,,11690,
,,,11691,
,,,11692,
,,,11693,
,,,11694,
,,,11695,
,,,11696,
,,,11697,
