Borough,Neighbourhood,Latitude,Longitude,Zipcode,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,Resto_Cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Bronx,Wakefield,40.89470518,-73.84720052,10466,1750,1665,1950,,,,,23,741.6086957,3.294117647,1.454545455,0,0,0,0,0,0,8.857142857,0,0,1,2,1,3,2
Bronx,Co-op City,40.87429419,-73.82993911,10475,,1500,1575,,,,,25,749.6,2.882352941,1.48,0,0,0,0,0,0,9.631578947,0,0,1,2,1,3,2
Bronx,Eastchester,40.88755568,-73.82780645,10466,,,,,,,,25,554.44,3.035947712,1.48,0,0,0,0,0,0,9.166666667,0,0,1,2,1,3,2
Bronx,Fieldston,40.89543743,-73.9056426,10471,,,,,,,,25,875.12,3.274509804,1.5,0,0,0,0,0,0,13.07692308,0,0,1,2,1,3,2
Bronx,Riverdale,40.89083449,-73.91258546,10463,2300,1850,2600,,,,,25,633.56,3.431372549,1.56,0,0,0,0,0,0,20.09166667,0,0,1,2,1,0,2
Bronx,Kingsbridge,40.88168737,-73.90281799,10463,947,1500,2198,,,,,25,532.28,3.839215686,1.4,0,0,0,0,0,0.010752688,6.991039427,1,1,1,0,1,3,2
Manhattan,Marble Hill,40.87655078,-73.91065966,10034,,3350,1825,,,,,25,639.96,3.343713956,1.28,0,0,0,0,0,0.003831418,11.66666667,0,0,1,1,1,3,2
Bronx,Woodlawn,40.89827261,-73.86731497,10466,,,1983,,,,,80,595.8220565,3.638829471,1.278688525,12558,38,5,32,12,0,5.864197531,2,1,1,0,1,3,0
Bronx,Norwood,40.87722416,-73.87939074,10458,2700,1600,1895,,,,,25,552.36,2.887955182,1.32,0,0,0,0,0,0,8.842032967,0,0,1,2,1,3,2
Bronx,Williamsbridge,40.88103888,-73.85744643,10467,3650,1600,2100,,,,,25,672.16,3.843137255,1.5,0,0,0,0,0,0.00511509,10.96419437,0,0,1,2,1,3,2
Bronx,Baychester,40.86685811,-73.8357976,10475,,,,,,,,58,633.759419,3.361764706,1.568627451,27375,25,7,20,4,0,14.52040816,0,0,1,2,1,1,2
Bronx,Pelham Parkway,40.8574135,-73.85475564,10461,,1450,2150,,,,,25,636.2,3.328808446,1.227272727,0,0,0,0,0,0,16.15942029,0,0,1,2,1,3,2
Bronx,City Island,40.8472467,-73.78648845,10464,1650,1350,2350,,,,,45,459.0398263,3.949690402,2.085714286,33815,5,5,12,1,0.02,1.9,4,1,1,0,1,2,2
Bronx,Bedford Park,40.87018516,-73.88551218,10467,,2825,2100,,,,,25,539.04,2.888386124,1.291666667,0,0,0,0,0,0.003984064,9.687250996,4,1,1,0,1,3,2
Bronx,University Heights,40.85572708,-73.91041596,10453,,1100,1995,,,,,24,625.2916667,3.065359477,1.5,0,0,0,0,0,0.007662835,8.400383142,1,1,1,0,1,3,2
