Borough,Neighbourhood,Latitude,Longitude,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed
Bronx,Allerton,40.86578787802982,-73.85931863221647,1850.0,1400.0,1800.0,,,,
Staten Island,Annadale,40.53811417474507,-74.17854866165878,,,,,,,
Staten Island,Arden Heights,40.54928582278321,-74.18588674583893,,1650.0,2250.0,,,,
Staten Island,Arlington,40.63532509911492,-74.16510420241124,,,,,,,
Staten Island,Arrochar,40.596312571276734,-74.06712363225574,,,,,,,
Queens,Arverne,40.58914394372971,-73.79199233136943,,,,,,,
Queens,Astoria,40.76850859335492,-73.91565374304234,1575.0,1875.0,2200.0,,,,
Queens,Astoria Heights,40.7703173929982,-73.89467996270574,,,,,,,
Queens,Auburndale,40.76172954903262,-73.79176243728061,1838.0,1675.0,2175.0,,,,
Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,1599.0,2600.0,1825.0,,,,
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,2200.0,2733.0,4431.0,2823.0,3573.0,6859.0,10574.0
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,2038.0,1750.0,2109.0,,,,
Queens,Bay Terrace,40.66841540741508,-73.95798422398674,,,,,,,
Staten Island,Bay Terrace,40.66841540741508,-73.95798422398674,,,,,,,
Bronx,Baychester,40.866858107252696,-73.83579759808117,,,,,,,
Queens,Bayside,40.76604063281064,-73.7742736306867,1850.0,1675.0,2300.0,,,,
Queens,Bayswater,40.61132169128384,-73.76596781445627,,,,,,,
Bronx,Bedford Park,40.870185164975325,-73.8855121841913,,2825.0,2100.0,,,,
Brooklyn,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,1650.0,1975.0,2200.0,2044.0,2297.0,2611.0,3214.0
Queens,Beechhurst,40.79278140360048,-73.80436451720988,,,,,,,
Queens,Bellaire,40.73301404027834,-73.73889198912481,,,,,,,
Queens,Belle Harbor,40.57615556543109,-73.8540175039252,,,,,,,
Queens,Bellerose,40.72857318176675,-73.72012814826903,1700.0,3386.0,2200.0,,,,
Bronx,Belmont,40.85727710073895,-73.88845196134804,,1400.0,1856.0,,,,
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,4200.0,1500.0,1795.0,,,,
Brooklyn,Bergen Beach,40.61514955045308,-73.89855633630317,,1600.0,1900.0,,,,
Queens,Blissville,40.73725071694497,-73.93244235260178,,,2000.0,,,,
Staten Island,Bloomfield,40.60577868452358,-74.18725638381567,,,,,,,
Brooklyn,Boerum Hill,40.68568291209144,-73.98374824115798,2446.0,2300.0,2750.0,2092.0,2854.0,4356.0,4921.0
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,2023.0,2098.0,1811.5,,,,
Queens,Breezy Point,40.55740128845452,-73.92551196994168,,,,,,,
Queens,Briarwood,40.71093547252271,-73.81174822458634,1438.0,1700.0,2050.0,,,,
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,2050.0,1575.0,2050.0,,,,
Queens,Broad Channel,40.60302658351238,-73.8200548911032,,,,,,,
Brooklyn,Broadway Junction,40.67786104769531,-73.90331684852599,,,,,,,
