Borough,Neighbourhood,Latitude,Longitude,ll,Zipcode,ll_round
Bronx,Wakefield,40.89470517661,-73.84720052054902,"40.89470517661,-73.84720052054902",10466.0,"40.895,-73.847"
Bronx,Co-op City,40.87429419303012,-73.82993910812398,"40.87429419303012,-73.82993910812398",10475.0,"40.874,-73.83"
Bronx,Eastchester,40.887555677350775,-73.82780644716412,"40.887555677350775,-73.82780644716412",10466.0,"40.888,-73.828"
Bronx,Fieldston,40.89543742690383,-73.90564259591682,"40.89543742690383,-73.90564259591682",10471.0,"40.895,-73.906"
Bronx,Riverdale,40.890834493891305,-73.9125854610857,"40.890834493891305,-73.9125854610857",10463.0,"40.891,-73.913"
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,"40.88168737120521,-73.90281798724604",10463.0,"40.882,-73.903"
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,"40.87655077879964,-73.91065965862981",10034.0,"40.877,-73.911"
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,"40.89827261213805,-73.86731496814176",10466.0,"40.898,-73.867"
Bronx,Norwood,40.87722415599446,-73.8793907395681,"40.87722415599446,-73.8793907395681",10458.0,"40.877,-73.879"
Bronx,Williamsbridge,40.88103887819211,-73.85744642974207,"40.88103887819211,-73.85744642974207",10467.0,"40.881,-73.857"
Bronx,Baychester,40.866858107252696,-73.83579759808117,"40.866858107252696,-73.83579759808117",10475.0,"40.867,-73.836"
Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999,"40.85741349808865,-73.85475564017999",10461.0,"40.857,-73.855"
Bronx,City Island,40.84724670491813,-73.78648845267413,"40.84724670491813,-73.78648845267413",10464.0,"40.847,-73.786"
Bronx,Bedford Park,40.870185164975325,-73.8855121841913,"40.870185164975325,-73.8855121841913",10467.0,"40.87,-73.886"
Bronx,University Heights,40.85572707719664,-73.9104159619131,"40.85572707719664,-73.9104159619131",10453.0,"40.856,-73.91"
Bronx,Morris Heights,40.84789792606271,-73.91967159119565,"40.84789792606271,-73.91967159119565",10453.0,"40.848,-73.92"
Bronx,Fordham,40.86099679638654,-73.89642655981623,"40.86099679638654,-73.89642655981623",10468.0,"40.861,-73.896"
Bronx,East Tremont,40.84269615786053,-73.88735617532338,"40.84269615786053,-73.88735617532338",10457.0,"40.843,-73.887"
Bronx,West Farms,40.83947505672653,-73.87774474910545,"40.83947505672653,-73.87774474910545",10460.0,"40.839,-73.878"
Bronx,High  Bridge,40.836623010706056,-73.9261020935813,"40.836623010706056,-73.9261020935813",10452.0,"40.837,-73.926"
Bronx,Melrose,40.819754370594936,-73.90942160757436,"40.819754370594936,-73.90942160757436",10455.0,"40.82,-73.909"
Bronx,Mott Haven,40.80623874935177,-73.91609987487575,"40.80623874935177,-73.91609987487575",10454.0,"40.806,-73.916"
Bronx,Port Morris,40.801663627756206,-73.91322139386135,"40.801663627756206,-73.91322139386135",10454.0,"40.802,-73.913"
Bronx,Longwood,40.81509904545822,-73.8957882009446,"40.81509904545822,-73.8957882009446",10459.0,"40.815,-73.896"
Bronx,Hunts Point,40.80972987938709,-73.88331505955291,"40.80972987938709,-73.88331505955291",10474.0,"40.81,-73.883"
Bronx,Morrisania,40.82359198585534,-73.90150648943059,"40.82359198585534,-73.90150648943059",10459.0,"40.824,-73.902"
Bronx,Soundview,40.821012197914015,-73.86574609554924,"40.821012197914015,-73.86574609554924",10473.0,"40.821,-73.866"
Bronx,Clason Point,40.80655112003589,-73.85414416189266,"40.80655112003589,-73.85414416189266",10473.0,"40.807,-73.854"
Bronx,Throgs Neck,40.81510925804005,-73.81635002158441,"40.81510925804005,-73.81635002158441",10465.0,"40.815,-73.816"
Bronx,Country Club,40.844245936947374,-73.8240992675385,"40.844245936947374,-73.8240992675385",10461.0,"40.844,-73.824"
Bronx,Parkchester,40.837937822267286,-73.85600310535783,"40.837937822267286,-73.85600310535783",10462.0,"40.838,-73.856"
Bronx,Westchester Square,40.8406194964327,-73.84219407604444,"40.8406194964327,-73.84219407604444",10461.0,"40.841,-73.842"
Bronx,Van Nest,40.84360847124718,-73.8662991807561,"40.84360847124718,-73.8662991807561",10460.0,"40.844,-73.866"
Bronx,Morris Park,40.847549063536334,-73.85040178030421,"40.847549063536334,-73.85040178030421",10461.0,"40.848,-73.85"
Bronx,Belmont,40.85727710073895,-73.88845196134804,"40.85727710073895,-73.88845196134804",10458.0,"40.857,-73.888"
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,"40.88139497727086,-73.91719048210393",10463.0,"40.881,-73.917"
Bronx,North Riverdale,40.90854282950666,-73.90453054908927,"40.90854282950666,-73.90453054908927",10471.0,"40.909,-73.905"
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,"40.85064140940335,-73.8320737824047",10461.0,"40.851,-73.832"
Bronx,Schuylerville,40.82657951686922,-73.82620275994073,"40.82657951686922,-73.82620275994073",10465.0,"40.827,-73.826"
Bronx,Edgewater Park,40.82198611816349,-73.81388514428619,"40.82198611816349,-73.81388514428619",10465.0,"40.822,-73.814"
Bronx,Castle Hill,40.81901437698832,-73.84802729582735,"40.81901437698832,-73.84802729582735",10473.0,"40.819,-73.848"
Bronx,Olinville,40.87137078192371,-73.86332361652777,"40.87137078192371,-73.86332361652777",10467.0,"40.871,-73.863"
Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223,"40.86296562477998,-73.84161194831223",10469.0,"40.863,-73.842"
Bronx,Concourse,40.83428380733851,-73.91558941773444,"40.83428380733851,-73.91558941773444",10452.0,"40.834,-73.916"
Bronx,Unionport,40.82977429787161,-73.85053524451935,"40.82977429787161,-73.85053524451935",10472.0,"40.83,-73.851"
Bronx,Edenwald,40.88456130303732,-73.84808271877168,"40.88456130303732,-73.84808271877168",10469.0,"40.885,-73.848"
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,"40.625801065010656,-74.03062069353813",11209.0,"40.626,-74.031"
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,"40.61100890202044,-73.99517998380729",11214.0,"40.611,-73.995"
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,"40.64510294925429,-74.01031618527784",11220.0,"40.645,-74.01"
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,"40.7302009848647,-73.95424093127393",11222.0,"40.73,-73.954"
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,"40.59526001306593,-73.97347087708445",11223.0,"40.595,-73.973"
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,"40.57682506566604,-73.96509448785336",11235.0,"40.577,-73.965"
Brooklyn,Sheepshead Bay,40.58689012678384,-73.94318640482979,"40.58689012678384,-73.94318640482979",11235.0,"40.587,-73.943"
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939,"40.61443251335098,-73.95743840559939",11230.0,"40.614,-73.957"
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,"40.63632589026677,-73.95840106533903",11218.0,"40.636,-73.958"
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,"40.67082917695294,-73.94329119073582",11225.0,"40.671,-73.943"
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,"40.64171776668961,-73.93610256185836",11203.0,"40.642,-73.936"
Brooklyn,Kensington,40.642381958003526,-73.98042110559474,"40.642381958003526,-73.98042110559474",11218.0,"40.642,-73.98"
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,"40.65694583575104,-73.98007340430172",11218.0,"40.657,-73.98"
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269,"40.67682226225472,-73.9648592426269",11238.0,"40.677,-73.965"
Brooklyn,Brownsville,40.66394994339755,-73.91023536176607,"40.66394994339755,-73.91023536176607",11212.0,"40.664,-73.91"
Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,"40.70714439344251,-73.95811529220927",11211.0,"40.707,-73.958"
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,"40.69811611017901,-73.92525797487045",11221.0,"40.698,-73.925"
Brooklyn,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,"40.687231607720456,-73.94178488690297",11216.0,"40.687,-73.942"
Brooklyn,Brooklyn Heights,40.69586372272408,-73.99378225496424,"40.69586372272408,-73.99378225496424",11201.0,"40.696,-73.994"
Brooklyn,Cobble Hill,40.68791972248557,-73.99856139218463,"40.68791972248557,-73.99856139218463",11201.0,"40.688,-73.999"
Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006,"40.680540231076485,-73.99465372828006",11201.0,"40.681,-73.995"
Brooklyn,Red Hook,40.676253230250886,-74.0127589747356,"40.676253230250886,-74.0127589747356",11231.0,"40.676,-74.013"
Brooklyn,Gowanus,40.673931143187154,-73.99444087145339,"40.673931143187154,-73.99444087145339",11215.0,"40.674,-73.994"
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,"40.68852726018977,-73.97290574369092",11205.0,"40.689,-73.973"
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,"40.67232052268197,-73.97705030183924",11215.0,"40.672,-73.977"
Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457296,"40.68239101144211,-73.87661596457296",11208.0,"40.682,-73.877"
Brooklyn,East New York,40.669925700847045,-73.88069863917366,"40.669925700847045,-73.88069863917366",11207.0,"40.67,-73.881"
Brooklyn,Starrett City,40.64758905230874,-73.87936970045875,"40.64758905230874,-73.87936970045875",11207.0,"40.648,-73.879"
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966,"40.63556432797428,-73.90209269778966",11236.0,"40.636,-73.902"
Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,"40.630446043757466,-73.92911302644674",11236.0,"40.63,-73.929"
Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,"40.606336421685626,-73.90818571777423",11234.0,"40.606,-73.908"
Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886,"40.57791350308657,-73.94353722891886",11235.0,"40.578,-73.944"
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,"40.57429256471601,-73.98868295821637",11224.0,"40.574,-73.989"
Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,"40.59951870282238,-73.99875221443519",11214.0,"40.6,-73.999"
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,"40.633130512758015,-73.99049823044811",11219.0,"40.633,-73.99"
Brooklyn,Dyker Heights,40.61921945772264,-74.01931375636022,"40.61921945772264,-74.01931375636022",11209.0,"40.619,-74.019"
Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196,"40.590848433902046,-73.93010170691196",11235.0,"40.591,-73.93"
Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,"40.609747779894604,-73.93134404108497",11234.0,"40.61,-73.931"
Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367,"40.693229421881504,-73.96784306216367",11238.0,"40.693,-73.968"
Brooklyn,Sea Gate,40.57637537890224,-74.0078731120024,"40.57637537890224,-74.0078731120024",11224.0,"40.576,-74.008"
Brooklyn,Downtown,40.69084402109802,-73.98346337431099,"40.69084402109802,-73.98346337431099",11201.0,"40.691,-73.983"
Brooklyn,Boerum Hill,40.68568291209144,-73.98374824115798,"40.68568291209144,-73.98374824115798",11217.0,"40.686,-73.984"
Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,"40.658420017469815,-73.95489867077713",11225.0,"40.658,-73.955"
Brooklyn,Ocean Hill,40.67840255479536,-73.91306831787395,"40.67840255479536,-73.91306831787395",11233.0,"40.678,-73.913"
Brooklyn,City Line,40.67856995727479,-73.86797598081334,"40.67856995727479,-73.86797598081334",11416.0,"40.679,-73.868"
Brooklyn,Bergen Beach,40.61514955045308,-73.89855633630317,"40.61514955045308,-73.89855633630317",11234.0,"40.615,-73.899"
Brooklyn,Midwood,40.62559589869843,-73.95759523489838,"40.62559589869843,-73.95759523489838",11230.0,"40.626,-73.958"
Brooklyn,Prospect Park South,40.64700860318519,-73.96261316716048,"40.64700860318519,-73.96261316716048",11218.0,"40.647,-73.963"
Brooklyn,Georgetown,40.62384524478419,-73.91607483951324,"40.62384524478419,-73.91607483951324",11234.0,"40.624,-73.916"
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195,"40.70849241041548,-73.93885815269195",11206.0,"40.708,-73.939"
Brooklyn,North Side,40.714822906532014,-73.95880857587582,"40.714822906532014,-73.95880857587582",11211.0,"40.715,-73.959"
Brooklyn,South Side,40.71086147265064,-73.95800095153331,"40.71086147265064,-73.95800095153331",11249.0,"40.711,-73.958"
Brooklyn,Ocean Parkway,40.61305976667942,-73.96836678035541,"40.61305976667942,-73.96836678035541",11230.0,"40.613,-73.968"
Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537984,"40.61476812694226,-74.03197914537984",11209.0,"40.615,-74.032"
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,"40.71561842231432,-73.99427936255978",10002.0,"40.716,-73.994"
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,"40.85190252555305,-73.93690027985234",10032.0,"40.852,-73.937"
Manhattan,Inwood,40.86768396449915,-73.92121042203897,"40.86768396449915,-73.92121042203897",10034.0,"40.868,-73.921"
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,"40.823604284811935,-73.94968791883366",10039.0,"40.824,-73.95"
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,"40.8169344294978,-73.9573853935188",10031.0,"40.817,-73.957"
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,"40.81597606742414,-73.94321112603905",10030.0,"40.816,-73.943"
Manhattan,East Harlem,40.79224946663033,-73.94418223148524,"40.79224946663033,-73.94418223148524",10035.0,"40.792,-73.944"
Manhattan,Upper East Side,40.775638573301805,-73.96050763135,"40.775638573301805,-73.96050763135",10028.0,"40.776,-73.961"
Manhattan,Yorkville,40.77592984988488,-73.94711784471826,"40.77592984988488,-73.94711784471826",10075.0,"40.776,-73.947"
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,"40.76811265828733,-73.9588596881376",10075.0,"40.768,-73.959"
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,"40.76215960576283,-73.94916769227953",11106.0,"40.762,-73.949"
Manhattan,Upper West Side,40.78765799853485,-73.97705923630603,"40.78765799853485,-73.97705923630603",10024.0,"40.788,-73.977"
Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,"40.77352888942166,-73.98533777001262",10023.0,"40.774,-73.985"
Manhattan,Clinton,40.75910089146212,-73.99611936309479,"40.75910089146212,-73.99611936309479",10018.0,"40.759,-73.996"
Manhattan,Midtown,40.75469110270623,-73.98166882730304,"40.75469110270623,-73.98166882730304",10017.0,"40.755,-73.982"
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,"40.748303077252174,-73.97833207924127",10016.0,"40.748,-73.978"
Manhattan,Chelsea,40.744034706747975,-74.00311633472813,"40.744034706747975,-74.00311633472813",10014.0,"40.744,-74.003"
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,"40.72693288536128,-73.99991402945902",10003.0,"40.727,-74.0"
Manhattan,East Village,40.72784677727024,-73.98222616506416,"40.72784677727024,-73.98222616506416",10009.0,"40.728,-73.982"
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,"40.71780674892765,-73.98089031999291",10002.0,"40.718,-73.981"
Manhattan,Tribeca,40.721521967443216,-74.01068328559087,"40.721521967443216,-74.01068328559087",10012.0,"40.722,-74.011"
Manhattan,Little Italy,40.71932379395907,-73.99730467208073,"40.71932379395907,-73.99730467208073",10013.0,"40.719,-73.997"
Manhattan,Soho,40.72218384131794,-74.00065666959759,"40.72218384131794,-74.00065666959759",10012.0,"40.722,-74.001"
Manhattan,West Village,40.73443393572434,-74.00617998126812,"40.73443393572434,-74.00617998126812",10014.0,"40.734,-74.006"
Manhattan,Manhattan Valley,40.79730704170287,-73.96428617740655,"40.79730704170287,-73.96428617740655",10025.0,"40.797,-73.964"
Manhattan,Morningside Heights,40.80799973816583,-73.96389627905332,"40.80799973816583,-73.96389627905332",10027.0,"40.808,-73.964"
Manhattan,Gramercy,40.737209832715,-73.98137594833541,"40.737209832715,-73.98137594833541",10010.0,"40.737,-73.981"
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,"40.71193198394565,-74.01686930508617",10013.0,"40.712,-74.017"
Manhattan,Financial District,40.70710710727048,-74.0106654452127,"40.70710710727048,-74.0106654452127",10038.0,"40.707,-74.011"
Queens,Astoria,40.76850859335492,-73.91565374304234,"40.76850859335492,-73.91565374304234",11105.0,"40.769,-73.916"
Queens,Woodside,40.74634908860222,-73.90184166838284,"40.74634908860222,-73.90184166838284",11372.0,"40.746,-73.902"
Queens,Jackson Heights,40.75198138007367,-73.88282109164365,"40.75198138007367,-73.88282109164365",11372.0,"40.752,-73.883"
Queens,Elmhurst,40.74404850512202,-73.88165622288388,"40.74404850512202,-73.88165622288388",11373.0,"40.744,-73.882"
Queens,Howard Beach,40.65422527738487,-73.8381376460028,"40.65422527738487,-73.8381376460028",11414.0,"40.654,-73.838"
Queens,Corona,40.74238175015667,-73.85682497345258,"40.74238175015667,-73.85682497345258",11373.0,"40.742,-73.857"
Queens,Forest Hills,40.72526378216503,-73.84447500788983,"40.72526378216503,-73.84447500788983",11375.0,"40.725,-73.844"
