Borough,Neighbourhood,Latitude,Longitude,Zip 1,Zip 2,Zip 3,Zip 4,Zip 5,Zip 6,Zip 7,Zip 8,Zip 9
Bronx,Kingsbridge and Riverdale,40.880678,-73.90654,10463,10471,,,,,,,
Bronx,Northeast Bronx,40.890964,-73.846239,10466,10469,10470,10475,,,,,
Bronx,Crotona and Tremont,40.85282,-73.91231,10453,10457,10460,,,,,,
Bronx,Bronx Park and Fordham,40.862529,-73.888159,10458,10467,10468,,,,,,
Bronx,Pelham and Throgs Neck,40.847394,-73.840583,10461,10462,10464,10465,10472,10473,,,
Bronx,HighBridge and Morrisania,40.820454,-73.925066,10451,10452,10456,,,,,,
Bronx,Hunts Point and Mott Haven,40.805492,-73.916604,10454,10455,10459,10474,,,,,
Brooklyn,Greenpoint,40.712597,-73.953098,11211,11222,,,,,,,
Brooklyn,Northwest Brooklyn ,40.6937,-73.989859,11201,11205,11215,11217,11231,,,,
Brooklyn,Central Brooklyn (Bedford Stuyvesant – Crown Heights),40.662932,-73.913019,11212,11213,11216,11233,11238,,,,
Brooklyn,East New York and New Lots,40.670757,-73.894209,11207,11208,,,,,,,
Brooklyn,Sunset Park,40.641087,-74.016552,11220,11232,,,,,,,
Brooklyn,Southwest Brooklyn,40.621993,-74.030134,11209,11214,11228,,,,,,
Brooklyn,Borough Park,40.618777,-73.984831,11204,11218,11219,11230,,,,,
Brooklyn,Canarsie and Flatlands,40.606436,-73.909725,11234,11236,11239,,,,,,
Brooklyn,Southern Brooklyn,40.597143,-73.973426,11223,11224,11229,11235,,,,,
Brooklyn,Flatbush,40.64959,-73.934374,11203,11210,11225,11226,,,,,
Brooklyn,Bushwick and Williamsburg,40.701954,-73.942358,11206,11221,11237,,,,,,
Manhattan,Inwood and Washington Heights,40.825288,-73.950045,10031,10032,10033,10034,10040,,,,
Manhattan,Central Harlem,40.802381,-73.952681,10026,10027,10030,10037,10039,,,,
Manhattan,East Harlem,40.791763,-73.94397,10029,10035,,,,,,,
Manhattan,Upper West Side,40.775915,-73.982602,10023,10024,10025,,,,,,
Manhattan,Upper East Side,40.769225,-73.958741,10021,10028,10044,10065,10075,10128,,,
Manhattan,Chelsea and Clinton,40.750636,-73.997177,10001,10011,10018,10019,10020,10036,,,
Manhattan,Gramercy Park and Murray Hill,40.739104,-73.982455,10010,10016,10017,10022,,,,,
Manhattan,Greenwich Village and Soho,40.725581,-73.998078,10012,10013,10014,,,,,,
Manhattan,Union Square and Lower East Side,40.715776,-73.986211,10002,10003,10009,,,,,,
Manhattan,Lower Manhattan,40.688874,-74.018213,10004,10005,10006,10007,10038,10280,,,
Queens,Long Island City and Astoria,40.74756,-73.938942,11101,11102,11103,11104,11105,11106,,,
Queens,West Queens,40.749737,-73.853045,11368,11369,11370,11372,11373,11377,11378,,
Queens,North Queens,40.768213,-73.827392,11354,11355,11356,11357,11358,11359,11360,,
Queens,Northeast Queens,40.764191,-73.772775,11361,11362,11363,11364,,,,,
Queens,West Central Queens,40.726467,-73.861515,11374,11375,11379,11385,,,,,
Queens,Central Queens,40.739634,-73.79449,11365,11366,11367,,,,,,
Queens,Southwest Queens,40.657604,-73.844804,11414,11415,11416,11417,11418,11419,11420,11421,
Queens,Jamaica,40.698096,-73.75899,11412,11423,11432,11433,11434,11435,11436,,
Queens,Southeast Queens,40.746205,-73.711482,11004,11005,11411,11413,11422,11426,11427,11428,11429
Queens,Rockaways,40.601261,-73.761646,11691,11692,11693,11694,11695,11697,,,
Staten Island,Port Richmond,40.630716,-74.137729,10302,10303,10310,,,,,,
Staten Island,South Beach and Tottenville,40.571768,-74.12595,10306,10307,10308,,,,,,
Staten Island,Stapleton and St. George,40.627505,-74.094377,10301,10304,10305,,,,,,
Staten Island,Mid-Island (Willowbrook),40.599263,-74.165748,10314,,,,,,,,
