Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Queens,Astoria,40.76850859,-73.91565374,11105,25,0,25,23,614.68,,4.425882353,1.782608696,0,110.6470588,41,,,,,,,,,,,,,,,,,,,,,,0,31,1,1,0,2011,3,13,2011,4,13,31,,,,,
Queens,Woodside,40.74634909,-73.90184167,11372,25,0,25,23,470.32,,3.735686275,1.52173913,0,93.39215686,35,,,,,,,,,,,,,,,,,3,86.66666667,3.966666667,260,11.9,,,,,,,,,,,,,,,,,
Queens,Jackson Heights,40.75198138,-73.88282109,11372,67,47,67,66,616.1323718,739.9787234,4.055809189,1.833333333,34779,271.7392157,121,17,59.21428571,4.035714286,829,56.5,0,20,200.3333333,4.466666667,2404,53.6,11,159,4.6,477,13.8,18,500.6111111,3.894444444,9011,70.1,12,791,111,101,0.108108108,2016.711712,6.540540541,15.03603604,2016.821782,6.603960396,16.23762376,7.831683168,1,1,9,21,1
Queens,Elmhurst,40.74404851,-73.88165622,11373,25,0,25,25,556.52,,4.030588235,1.56,0,100.7647059,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Howard Beach,40.65422528,-73.83813765,11414,54,45,54,53,474.0893077,611.8666667,3.731336238,1.679245283,27534,201.4921569,89,17,10.41666667,4.291666667,125,51.5,0,4,378.3333333,4.166666667,1135,12.5,24,1,1,2,2,2,1020.5,4.2,2041,8.4,2,922,41,39,0.048780488,2016.195122,6.268292683,16.95121951,2016,6.923076923,17.1025641,23.64102564,,,,,
Queens,Corona,40.74238175,-73.85682497,11373,25,0,10,24,681.24,,3.674509804,1.708333333,0,36.74509804,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Forest Hills,40.72526378,-73.84447501,11375,25,0,25,23,653.24,,3.600784314,1.47826087,0,90.01960784,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Kew Gardens,40.70517904,-73.82981906,11415,45,23,33,41,534.259607,370.0434783,3.70439691,1.487804878,8511,122.245098,61,10,20,4.78,100,23.9,0,7,98.6,4.48,493,22.4,14,1.8,2.9,9,14.5,2,166.5,4.25,333,8.5,3,244,15,13,0.2,2017.133333,7.466666667,20.53333333,2016.538462,7.846153846,19.84615385,18.76923077,,,,,
Queens,Richmond Hill,40.69794731,-73.83183321,11418,48,29,33,41,542.8703023,256.862069,3.70647653,1.512195122,7449,122.3137255,62,20,17,4.125,204,49.5,0,6,29,4.58,145,22.9,14,1,5,2,10,8,455.2857143,4.071428571,3187,28.5,7,723,85,78,0.082352941,2017.352941,6.235294118,15.42352941,2017.333333,6.346153846,16.8974359,9.269230769,,,,,
Queens,Flushing,40.7644542,-73.831773,11354,77,61,77,72,479.5608621,856.3442623,3.987216705,1.763888889,52237,307.0156863,127,26,20.73333333,4.166666667,311,62.5,0,16,171.2142857,4.285714286,2397,60,30,1.75,3.775,14,30.2,16,800.8571429,3.978571429,11212,55.7,4,721,69,65,0.057971014,2017.753623,6.811594203,17.39130435,2017.784615,7.369230769,15.66153846,11.09230769,4,4,8.25,18.5,1
Queens,Long Island City,40.75021735,-73.93920224,11101,25,0,25,23,510.64,,3.955294118,1.695652174,0,98.88235294,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Sunnyside,40.74017628,-73.92691618,11104,41,0,32,35,646.8536585,,3.845588235,1.485714286,0,123.0588235,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,East Elmhurst,40.76407324,-73.86704148,11368,25,0,8,25,716.68,,2.735294118,1.64,0,21.88235294,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Maspeth,40.72542737,-73.89621714,11378,48,33,44,44,449.9065584,321.9090909,3.740998217,1.522727273,10623,164.6039216,67,19,20.63636364,4.381818182,227,48.2,0,16,76.33333333,3.74,1145,56.1,14,1.75,2.8,7,11.2,4,242.5,4.3,970,17.2,5,877,109,104,0.04587156,2016.577982,7.073394495,16,2016.528846,6.942307692,16.21153846,8.432692308,,,,,
Queens,Ridgewood,40.70832316,-73.90143518,11385,25,0,25,21,666.76,,3.600784314,1.666666667,0,90.01960784,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Glendale,40.70276243,-73.87074167,11385,79,70,76,74,640.6793734,338.4714286,3.815196078,1.5,23693,289.954902,111,28,20.76190476,3.942857143,436,82.8,0,16,104.3846154,4.115384615,1357,53.5,28,8.3,4.28,83,42.8,10,350.3333333,4.311111111,3153,38.8,30,5273,521,493,0.057581574,2017.119002,6.516314779,15.82149712,2017.156187,6.709939148,16.50912779,10.69574037,3,3,7,27.66666667,1
Queens,Rego Park,40.72897409,-73.85782687,11375,25,0,25,24,534.8,,3.023529412,1.291666667,0,75.58823529,31,,,,,,,,,,,,1,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,
Queens,Woodhaven,40.68988688,-73.85811047,11421,40,23,29,38,501.7830564,290.2608696,3.672210953,1.342105263,6676,106.4941176,51,11,17.33333333,4.45,104,26.7,0,7,109.3333333,4.25,656,25.5,13,9,4.183333333,54,25.1,9,177.5555556,4.055555556,1598,36.5,4,507,45,42,0.088888889,2015.644444,6.266666667,15.17777778,2015.571429,6.357142857,15.45238095,12.07142857,,,,,
Queens,Ozone Park,40.68070847,-73.84320266,11417,24,0,10,24,624.375,,2.733333333,1.458333333,0,27.33333333,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,South Ozone Park,40.66854958,-73.80986479,11420,42,24,27,36,797.2736784,220.3333333,3.713362382,1.444444444,5288,100.2607843,52,15,21.77777778,4.177777778,196,37.6,0,3,105.3333333,4.366666667,316,13.1,11,1,5,2,10,2,790.5,3.95,1581,7.9,8,1460,104,99,0.076923077,2016.346154,7.115384615,16.10576923,2016.575758,7.555555556,16.1010101,14.74747475,1,1,8,11,1
Queens,College Point,40.78490275,-73.84304529,11356,58,43,50,48,482.8742397,278.2790698,3.649921569,1.625,11966,182.4960784,78,20,11,4.54,110,45.4,0,6,81.83333333,4.466666667,491,26.8,22,1.666666667,3.233333333,5,9.7,7,593.5,4.4,3561,26.4,4,558,29,25,0.137931034,2016.931034,6.206896552,19.17241379,2017.68,6.92,19.52,22.32,,,,,
Queens,Whitestone,40.78129077,-73.81420217,11357,25,0,21,25,748.48,,3.154995331,1.64,0,66.25490196,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Bayside,40.76604063,-73.77427363,11361,62,46,62,57,643.2250216,574.4782609,3.846710942,1.894736842,26426,238.4960784,108,22,15.25,4.216666667,183,50.6,0,2,725.5,4.5,1451,9,17,11.25,3.725,45,14.9,1,11,3.5,11,3.5,5,409,51,46,0.098039216,2017.45098,6.745098039,15.2745098,2017.195652,6.826086957,14.58695652,8.891304348,,,,,
Queens,Auburndale,40.76172955,-73.79176244,11358,25,0,25,24,663.76,,3.249411765,1.583333333,0,81.23529412,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Little Neck,40.77082619,-73.73889776,11362,25,0,22,23,376.8,,3.231729055,1.913043478,0,71.09803922,44,1,8,5,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Douglaston,40.7668461,-73.74249821,11362,46,30,41,44,470.9057756,403.7666667,3.797704448,1.909090909,12113,155.7058824,84,16,14.57142857,4.414285714,102,30.9,0,3,16,3.75,32,7.5,14,1,3,3,9,,,,,,2,111,11,9,0.181818182,2016,6.454545455,16.45454545,2016.222222,7.222222222,19.88888889,12.33333333,,,,,
Queens,Glen Oaks,40.7494408,-73.71548119,11004,25,0,15,23,624.4,,3.164705882,1.391304348,0,47.47058824,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Bellerose,40.72857318,-73.72012815,11426,51,36,42,44,605.3896519,235.0833333,3.867647059,1.477272727,8463,162.4411765,65,12,15.375,4.2625,123,34.1,0,4,81.5,4.675,326,18.7,14,1.25,4.25,5,17,5,528.4,4.32,2642,21.6,2,385,28,26,0.071428571,2016.035714,6.571428571,16.39285714,2015.961538,7.384615385,14.80769231,14.80769231,,,,,
Queens,Kew Gardens Hills,40.72257824,-73.82087765,11367,47,35,42,44,702.5600581,348.7428571,3.576890756,1.568181818,12206,150.2294118,69,30,19.21052632,4.326315789,365,82.2,0,10,84.44444444,4.111111111,760,37,18,1.714285714,3.714285714,12,26,7,583.7142857,4.2,4086,29.4,3,380,39,36,0.076923077,2016.717949,7.58974359,17.58974359,2016.916667,7.583333333,17.97222222,10.55555556,,,,,
Queens,Fresh Meadows,40.73439447,-73.78271337,11366,25,0,16,24,614.24,,3.348039216,1.333333333,0,53.56862745,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,Briarwood,40.71093547,-73.81174822,11435,48,28,39,47,749.1917843,306.7857143,3.563650075,1.382978723,8590,138.9823529,65,11,25,4.366666667,225,39.3,0,8,226.8571429,4.357142857,1588,30.5,13,1.833333333,4.7,11,28.2,8,280.5,4.25,2244,34,12,1973,139,127,0.086330935,2017.366906,6.467625899,17.13669065,2017.543307,6.763779528,16.19685039,15.53543307,1,1,9,2,1
Queens,Jamaica Center,40.70465736,-73.79690166,11432,23,0,13,20,556.173913,,2.972850679,1.4,0,38.64705882,28,,,,,,,,,,,,,,,,,,,,,,0,51,1,1,0,2016,7,2,2016,8,22,51,,,,,
Queens,Oakland Gardens,40.74561857,-73.75494976,11364,25,0,16,23,430.92,,2.980392157,1.52173913,0,47.68627451,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
