Latitude,Longitude,Zipcode,Borough,Neighbourhood,Month,Day,Ride Count
40.575,-73.984,11224,Brooklyn,Southern Brooklyn,07,12,1
40.576,-73.981,11224,Brooklyn,Southern Brooklyn,09,07,1
40.617,-74.021,11228,Brooklyn,Southwest Brooklyn,08,28,1
40.618,-74.03,11209,Brooklyn,Southwest Brooklyn,09,26,1
40.622,-74.032,11209,Brooklyn,Southwest Brooklyn,04,12,1
40.623,-74.034,11209,Brooklyn,Southwest Brooklyn,09,13,1
40.626,-74.027,11209,Brooklyn,Southwest Brooklyn,08,29,1
40.628,-74.029,11209,Brooklyn,Southwest Brooklyn,09,06,1
40.629,-74.023,11209,Brooklyn,Southwest Brooklyn,08,24,1
40.634,-73.958,11230,Brooklyn,Borough Park,09,19,1
40.639,-73.998,11219,Brooklyn,Borough Park,06,13,1
40.64,-73.957,11226,Brooklyn,Flatbush,06,15,1
40.64,-73.967,11218,Brooklyn,Borough Park,08,08,1
40.64,-73.968,11218,Brooklyn,Borough Park,07,30,1
40.641,-73.788,11436,Queens,Jamaica,08,10,1
40.641,-73.788,11436,Queens,Jamaica,07,22,1
40.645,-73.98,11218,Brooklyn,Borough Park,08,03,1
40.646,-73.96,11226,Brooklyn,Flatbush,09,07,1
40.646,-74.024,11220,Brooklyn,Sunset Park,08,26,1
40.647,-73.97,11218,Brooklyn,Borough Park,06,05,1
40.649,-73.944,11203,Brooklyn,Flatbush,07,06,1
40.652,-73.976,11218,Brooklyn,Borough Park,09,14,1
40.653,-73.956,11238,Brooklyn,Central Brooklyn (Bedford Stuyvesant – Crown Heights),08,17,1
40.654,-73.973,11218,Brooklyn,Borough Park,06,06,1
40.655,-73.913,11212,Brooklyn,Central Brooklyn (Bedford Stuyvesant – Crown Heights),08,06,1
40.655,-73.958,11226,Brooklyn,Flatbush,05,27,1
40.655,-73.962,11226,Brooklyn,Flatbush,08,24,1
40.655,-74.009,11232,Brooklyn,Sunset Park,08,04,1
40.656,-74.0,11232,Brooklyn,Sunset Park,09,30,1
40.656,-74.007,11232,Brooklyn,Sunset Park,09,02,1
40.656,-74.009,11232,Brooklyn,Sunset Park,09,21,1
40.657,-73.962,11225,Brooklyn,Flatbush,07,25,1
40.657,-74.008,11232,Brooklyn,Sunset Park,07,28,1
40.657,-74.009,11232,Brooklyn,Sunset Park,08,10,1
40.658,-74.007,11232,Brooklyn,Sunset Park,04,11,1
40.659,-73.99,11215,Brooklyn,Northwest Brooklyn ,07,17,1
40.659,-73.996,11232,Brooklyn,Sunset Park,09,18,1
40.66,-73.963,11225,Brooklyn,Flatbush,04,20,1
40.66,-73.98,11215,Brooklyn,Northwest Brooklyn ,07,22,1
40.66,-73.981,11215,Brooklyn,Northwest Brooklyn ,05,26,1
40.66,-73.982,11215,Brooklyn,Northwest Brooklyn ,09,19,1
40.66,-73.984,11215,Brooklyn,Northwest Brooklyn ,06,28,1
40.66,-73.988,11215,Brooklyn,Northwest Brooklyn ,08,17,1
40.66,-73.988,11215,Brooklyn,Northwest Brooklyn ,09,20,1
40.66,-73.992,11215,Brooklyn,Northwest Brooklyn ,06,10,1
40.661,-73.961,11225,Brooklyn,Flatbush,06,18,1
40.661,-73.963,11225,Brooklyn,Flatbush,04,15,1
40.661,-73.98,11218,Brooklyn,Borough Park,08,15,1
40.661,-73.99,11215,Brooklyn,Northwest Brooklyn ,08,22,1
40.661,-73.992,11215,Brooklyn,Northwest Brooklyn ,05,23,1
40.661,-73.994,11215,Brooklyn,Northwest Brooklyn ,08,14,1
40.661,-73.997,11232,Brooklyn,Sunset Park,08,09,1
40.662,-73.936,11203,Brooklyn,Flatbush,06,26,1
40.662,-73.98,11215,Brooklyn,Northwest Brooklyn ,04,07,1
40.662,-73.993,11215,Brooklyn,Northwest Brooklyn ,09,04,1
40.662,-73.998,11232,Brooklyn,Sunset Park,08,22,1
40.663,-73.944,11225,Brooklyn,Flatbush,04,25,1
