,Name,Reviews,Rating,Price,Distance (m),Latitude,Longitude,Address,Borough,Zipcode,Category
0,Ripe Kitchen & Bar,287,4.0,$$,805.077588601848,40.898214,-73.838821,151 W Sandford Blvd,Mount Vernon,10550,restaurant
1,H.I.M Ital Health Food Market,47,4.5,$,715.4679286349112,40.897633,-73.854665,4374B White Plains Rd,Bronx,10466,restaurant
2,Ali's Roti Shop,104,4.0,$,809.6427469842212,40.894,-73.85684,4220 White Plains Rd,Bronx,10466,restaurant
3,Paula's Soul Cafe,202,3.0,$$,746.8911061617034,40.89269,-73.85568,746 E 233rd St,Bronx,10466,restaurant
4,Jerk House,62,3.5,$$,771.5258542038998,40.89464,-73.85648,4246 White Plains,Bronx,10466,restaurant
5,Rincon Latino Restaurant,36,4.0,$,711.29302343812,40.8973541259766,-73.8547973632812,4360 White Plains Rd,Bronx,10466,restaurant
6,Carifesta Restaurant,22,4.0,$,811.1655338345455,40.89485,-73.8568,4251 White Plains Rd,Bronx,10466,restaurant
7,Cooler Runnings Jamaican Restaurant,50,3.0,$,460.354297769294,40.898157,-73.85029,1802 Nereid Ave,Bronx,10466,restaurant
8,New Dragon Star Chinese Kitchen,14,4.0,$,809.4668964251745,40.89393,-73.85677,4216 White Plains Rd,Bronx,10466,restaurant
9,Island Taste Cuisine,11,4.5,$,991.8904589233416,40.9031675,-73.8509333,4643 White Plains Rd,Bronx,10470,restaurant
10,Last Stop Bar & Grill,40,3.0,$$$,956.637872443945,40.9027582202687,-73.8512055929634,4609 White Plains Rd,Bronx,10470,restaurant
11,Loong Xin Asian cuisine,20,3.5,$,958.3918539434017,40.8935462028793,-73.8584990054369,670 E 233rd St,East Bronx,10466,restaurant
12,Joe's Pizzeria,18,4.0,$,834.2947070043408,40.893508,-73.856999,703 E 233rd St,Bronx,10466,restaurant
13,Prima Pizza,4,5.0,,448.5311931630702,40.89092494757056,-73.8490624,977 E 233rd,Bronx,10466,restaurant
14,220 African Restaurant,8,4.5,,1013.9281385459424,40.8910767,-73.8582669,4120 A White Plains Rd,Bronx,10466,restaurant
15,First Family Pizzeria,9,3.5,,438.932429106449,40.89852,-73.84881,1840 Nereid Ave,Bronx,10466,restaurant
16,Peppinos Pizza,33,3.0,$,1033.019541329993,40.903672,-73.850454,4701 White Plains Rd,Bronx,10470,restaurant
17,Lammy's,8,3.5,$,446.5167116258379,40.8909116,-73.8489425,975 E 233rd St,Bronx,10466,restaurant
18,Kaieteur Bronx Restaurant & Bakery,20,2.5,,729.2910932812491,40.89778982351,-73.8548576879766,4379 White Plains Rd,Bronx,10466,restaurant
19,Sunlife Total Health,11,4.0,$,1098.4244886485512,40.8902,-73.85893,4060 White Plains Rd,Bronx,10466,restaurant
20,Jimbo's Hamburger Palace,24,3.0,$,1011.4349827119468,40.891804,-73.858604,4137 White Plains Rd,Bronx,10466,restaurant
21,Big Daddy's Caribbean Taste,7,3.5,$$,707.7130865004747,40.89865,-73.85391,4406 White Plains Rd,Bronx,10470,restaurant
22,Tony's Pizza,7,3.5,$,903.4018713239548,40.893291,-73.857841,4189 White Plains Rd,Bronx,10466,restaurant
23,Vibez’N’Juice,3,4.5,,739.8777790642165,40.89262,-73.85551,754 E 233rd St,The Bronx,10466,restaurant
24,El Jobo Seafood Restaurant,19,2.0,$,743.689135442288,40.8927373588085,-73.8554345816374,748 E 233rd St,Bronx,10466,restaurant
