Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Allerton,0.0,6341.0,72.7,1.0,735.7716957,-1329.7108297999998,188406.0
Astoria Heights,0.0,2160.0,21.3,4.0,203.8655665,-369.52759189999995,55525.0
Bath Beach,0.0,7744.0,101.1,2.0,1015.0564186,-1849.9456776,280350.0
Bay Terrace,0.0,1567.0,8.399999999999999,2.0,81.3298124,-147.9294783,20616.0
Baychester,0.0,2961.0,15.8,4.0,163.5131648,-295.3189695,41900.0
Bayside,0.0,11.0,3.5,0.0,40.7647042,-73.7718975,11361.0
Bayswater,0.0,2222.0,40.9,0.0,406.0148473,-737.5332937,116910.0
Bedford Stuyvesant,0.0,5494.0,63.7,2.0,691.5714217999999,-1257.1183506,190672.0
Bellaire,0.0,1074.0,11.8,0.0,122.2372317,-221.2716361,34092.0
Bellerose,0.0,2642.0,21.6,0.0,203.66650489999998,-368.6141187,57130.0
Belmont,0.0,3164.0,43.699999999999996,3.0,490.3645773,-886.6849718,125496.0
Boerum Hill,0.0,4593.0,27.2,7.0,284.7883076,-517.8643181,78519.0
Borough Park,0.0,5712.0,103.2,2.0,1015.6520631999999,-1849.7088304,280475.0
Briarwood,0.0,2244.0,34.0,0.0,325.62369390000003,-590.460586,91480.0
Bronxdale,0.0,4549.0,93.6,2.0,939.3405849,-1698.7612965,240626.0
Brookville,0.0,133.0,7.9,1.0,81.340458,-147.4932576,22826.0
Brownsville,0.0,3865.0,65.2,3.0,731.9383313,-1330.4537863,201816.0
Bushwick,0.0,4948.0,69.4,3.0,691.7805502,-1256.8282097,190757.0
Bushwick and Williamsburg,0.0,1865.0,34.9,2.0,325.61458899999997,-591.3725820999999,0.0
Cambria Heights,0.0,2459.0,4.1,0.0,40.6954177,-73.74198109999999,11411.0
Canarsie and Flatlands,0.0,2478.0,12.9,1.0,121.9535238,-221.62494579999998,0.0
Carnegie Hill,0.0,2903.0,23.3,6.0,326.2143163,-591.6291148,80224.0
Castle Hill,0.0,2930.0,31.599999999999998,1.0,326.5512489,-590.8727122,83784.0
Central Harlem,0.0,1921.0,34.8,3.0,408.115584,-739.4738363,100300.0
Chelsea and Clinton,0.0,9604.0,73.4,10.0,896.7844758,-1627.7395479,0.0
City Island,0.0,70.0,4.2,0.0,40.849233,-73.7875751,10464.0
City Line,0.0,4310.0,28.7,2.0,284.7794948,-516.9905769,79912.0
Civic Center,0.0,8193.0,61.1,10.0,570.0519355,-1035.9824546999998,140182.0
Claremont Village,0.0,2852.0,39.8,2.0,489.8696381,-886.7438043,125508.0
Clinton,0.0,2643.0,27.7,0.0,326.0406089,-591.9255728999999,80144.0
Clinton Hill,0.0,3545.0,45.2,1.0,528.8449184,-961.5247096999999,146094.0
College Point,0.0,3561.0,26.4,2.0,285.4791137,-516.9044402,79492.0
Concord,0.0,1960.0,20.2,1.0,203.0373437,-370.3635235,51525.0
Concourse Village,0.0,2849.0,68.6,3.0,816.6164372,-1478.1857688999999,209120.0
Cypress Hills,0.0,4860.0,102.4,3.0,1016.9651443,-1846.8119371,280200.0
Ditmas Park,0.0,5648.0,51.4,1.0,528.3533356,-961.7348794999999,145834.0
Dumbo,0.0,8766.0,46.5,6.0,529.0442977,-961.8480796,145613.0
East Harlem,0.0,4516.0,49.6,2.0,489.50915699999996,-887.3370727,120420.0
East Tremont,0.0,4821.0,54.8,6.0,531.0422581,-960.6666117999999,135941.0
East Williamsburg,0.0,2191.0,43.3,0.0,447.72527579999996,-813.3707156,123266.0
Edenwald,0.0,6297.0,28.799999999999997,1.0,286.0855165,-516.9350207,73283.0
Edgewater Park,0.0,1128.0,12.6,0.0,122.4703161,-221.4776349,31395.0
Elm Park,0.0,1263.0,11.3,0.0,121.8869938,-222.40826399999997,30909.0
Erasmus,0.0,3270.0,65.2,4.0,731.6547003,-1331.2246652,202068.0
Financial District,0.0,2517.0,16.7,5.0,162.8340369,-296.014757,40152.0
Flatbush,0.0,1081.0,12.1,0.0,121.88913899999997,-221.84384839999998,33654.0
Flatiron,0.0,1733.0,23.5,3.0,325.9286116,-592.0088911,80088.0
Floral Park,0.0,1396.0,12.6,0.0,122.2112597,-221.1293076,33012.0
Flushing,0.0,11212.0,55.699999999999996,4.0,652.2278723,-1181.2498633,181664.0
Forest Hills Gardens,0.0,3005.0,37.8,0.0,407.283652,-738.4931004,113750.0
Fort Greene,0.0,4800.0,33.9,2.0,325.5596808,-591.7229977,89640.0
Fort Hamilton,0.0,4441.0,54.199999999999996,2.0,528.1247545,-962.3647003,145717.0
Fox Hills,0.0,1275.0,24.8,3.0,243.6987774,-444.5082013,61824.0
Gerritsen Beach,0.0,15289.0,88.5,4.0,892.8203139,-1627.0368727,247170.0
Glendale,0.0,3153.0,38.8,2.0,407.0432947,-739.0022991999999,113850.0
Gramercy,0.0,9022.0,37.7,2.0,407.3938227,-739.8396617,100100.0
Gravesend,0.0,1971.0,47.5,4.0,487.19407509999996,-887.6358081,134676.0
Greenpoint,0.0,1385.0,39.2,2.0,366.57926299999997,-665.5769083,100998.0
Greenwich Village,0.0,10249.0,34.0,8.0,366.5897518,-665.9168999999999,90027.0
Hamilton Heights,0.0,3074.0,11.3,0.0,122.47829200000001,-221.81531439999998,30117.0
Hammels,0.0,1010.0,7.4,1.0,81.17394789999999,-147.6239392,23386.0
HighBridge and Morrisania,0.0,1369.0,22.7,2.0,244.9260999,-443.4911907,0.0
