Neighbourhood,Created Date,Closed Date,Case Open?,Borough,Latitude,Longitude,Location,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open,ll
Allerton,508,480,508,508,507,507,507,508,508,508,508,480,480,480,480,508
Astoria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Astoria Heights,130,115,130,130,130,130,130,130,130,130,130,115,115,115,115,130
Bath Beach,126,116,126,126,125,125,125,126,126,126,126,116,116,116,116,126
Bay Terrace,83,76,83,83,83,83,83,83,83,83,83,76,76,76,76,83
Baychester,16,13,16,16,16,16,16,16,16,16,16,13,13,13,13,16
Bayside,51,46,51,51,50,50,50,51,51,51,51,46,46,46,46,51
Bayswater,71,63,71,71,71,71,71,71,71,71,71,63,63,63,63,71
Bedford Stuyvesant,806,757,806,806,798,798,798,806,806,806,806,757,757,757,757,806
Bellaire,18,17,18,18,18,18,18,18,18,18,18,17,17,17,17,18
Bellerose,28,26,28,28,28,28,28,28,28,28,28,26,26,26,26,28
Belmont,465,433,465,465,463,463,463,465,465,465,465,433,433,433,433,465
Boerum Hill,398,362,398,398,395,395,395,398,398,398,398,362,362,362,362,398
Borough Park,218,192,218,218,211,211,211,218,218,218,218,192,192,192,192,218
Briarwood,139,127,139,139,139,139,139,139,139,139,139,127,127,127,127,139
Bronxdale,260,241,260,260,260,260,260,260,260,260,260,241,241,241,241,260
Brookville,55,53,55,55,55,55,55,55,55,55,55,53,53,53,53,55
Brownsville,263,245,263,263,263,263,263,263,263,263,263,245,245,245,245,263
Bushwick,827,769,827,827,818,818,818,827,827,827,827,769,769,769,769,827
Bushwick and Williamsburg,551,518,551,551,489,489,489,490,551,551,551,518,518,518,518,551
Cambria Heights,21,19,21,21,21,21,21,21,21,21,21,19,19,19,19,21
Canarsie and Flatlands,7,6,7,7,7,7,7,7,7,7,7,6,6,6,6,7
Carnegie Hill,216,204,216,216,213,213,213,216,216,216,216,204,204,204,204,216
Castle Hill,119,113,119,119,118,118,118,119,119,119,119,113,113,113,113,119
Central Harlem,829,779,829,829,814,814,814,829,829,829,829,779,779,779,779,829
Chelsea and Clinton,254,231,254,254,252,252,252,254,254,254,254,231,231,231,231,254
City Island,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
City Line,45,39,45,45,45,45,45,45,45,45,45,39,39,39,39,45
Civic Center,173,163,173,173,171,171,171,173,173,173,173,163,163,163,163,173
Claremont Village,296,277,296,296,296,296,296,296,296,296,296,277,277,277,277,296
Clinton,36,34,36,36,36,36,36,36,36,36,36,34,34,34,34,36
Clinton Hill,796,761,796,796,794,794,794,796,796,796,796,761,761,761,761,796
College Point,29,25,29,29,29,29,29,29,29,29,29,25,25,25,25,29
Concord,108,98,108,108,107,107,107,108,108,108,108,98,98,98,98,108
Concourse Village,462,441,462,462,461,461,461,462,462,462,462,441,441,441,441,462
Cypress Hills,298,249,298,298,296,296,296,298,298,298,298,249,249,249,249,298
Ditmas Park,167,155,167,167,164,164,164,167,167,167,167,155,155,155,155,167
Douglaston,11,9,11,11,11,11,11,11,11,11,11,9,9,9,9,11
Dumbo,247,229,247,247,246,246,246,247,247,247,247,229,229,229,229,247
East Harlem,604,548,604,604,600,600,600,604,604,604,604,548,548,548,548,604
East New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
East Tremont,398,373,398,398,398,398,398,398,398,398,398,373,373,373,373,398
East Williamsburg,457,418,457,457,453,453,453,457,457,457,457,418,418,418,418,457
Edenwald,184,168,184,184,184,184,184,184,184,184,184,168,168,168,168,184
Edgewater Park,86,81,86,86,86,86,86,86,86,86,86,81,81,81,81,86
Elm Park,87,82,87,87,84,84,84,87,87,87,87,82,82,82,82,87
Erasmus,546,500,546,546,543,543,543,546,546,546,546,500,500,500,500,546
Financial District,87,77,87,87,87,87,87,87,87,87,87,77,77,77,77,87
Flatbush,128,112,128,128,125,125,125,128,128,128,128,112,112,112,112,128
Flatiron,194,180,194,194,193,193,193,194,194,194,194,180,180,180,180,194
Floral Park,7,6,7,7,7,7,7,7,7,7,7,6,6,6,6,7
Flushing,69,65,69,69,69,69,69,69,69,69,69,65,65,65,65,69
Forest Hills Gardens,77,70,77,77,76,76,76,77,77,77,77,70,70,70,70,77
Fort Greene,338,314,338,338,332,332,332,338,338,338,338,314,314,314,314,338
Fort Hamilton,152,139,152,152,151,151,151,152,152,152,152,139,139,139,139,152
Fox Hills,109,103,109,109,108,108,108,109,109,109,109,103,103,103,103,109
Gerritsen Beach,217,196,217,217,215,215,215,217,217,217,217,196,196,196,196,217
Glendale,521,493,521,521,515,515,515,521,521,521,521,493,493,493,493,521
Gramercy,89,81,89,89,87,87,87,89,89,89,89,81,81,81,81,89
Gravesend,108,93,108,108,107,107,107,108,108,108,108,93,93,93,93,108
Greenpoint,318,285,318,318,315,315,315,318,318,318,318,285,285,285,285,318
Greenwich Village,186,168,186,186,185,185,185,186,186,186,186,168,168,168,168,186
Hamilton Heights,115,105,115,115,115,115,115,115,115,115,115,105,105,105,105,115
Hammels,13,11,13,13,13,13,13,13,13,13,13,11,11,11,11,13
HighBridge and Morrisania,253,236,253,253,252,252,252,253,253,253,253,236,236,236,236,253
Highland Park,540,475,540,540,538,538,538,540,540,540,540,475,475,475,475,540
Hillcrest,12,10,12,12,12,12,12,12,12,12,12,10,10,10,10,12
Hollis,37,31,37,37,36,36,36,37,37,37,37,31,31,31,31,37
Holliswood,18,16,18,18,18,18,18,18,18,18,18,16,16,16,16,18
Howard Beach,41,39,41,41,41,41,41,41,41,41,41,39,39,39,39,41
Hudson Yards,117,104,117,117,116,116,116,117,117,117,117,104,104,104,104,117
Hunts Point,108,102,108,108,106,106,106,108,108,108,108,102,102,102,102,108
Inwood,217,191,217,217,217,217,217,217,217,217,217,191,191,191,191,217
Inwood and Washington Heights,406,376,406,406,406,406,406,406,406,406,406,376,376,376,376,406
Jackson Heights,111,101,111,111,110,110,110,111,111,111,111,101,101,101,101,111
Jamaica,192,175,192,192,191,191,191,192,192,192,192,175,175,175,175,192
Jamaica Center,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jamaica Hills,120,108,120,120,120,120,120,120,120,120,120,108,108,108,108,120
Kew Gardens,15,13,15,15,15,15,15,15,15,15,15,13,13,13,13,15
Kew Gardens Hills,39,36,39,39,39,39,39,39,39,39,39,36,36,36,36,39
Kingsbridge Heights,354,326,354,354,352,352,352,354,354,354,354,326,326,326,326,354
Laurelton,20,19,20,20,20,20,20,20,20,20,20,19,19,19,19,20
Lefrak City,154,147,154,154,152,152,152,154,154,154,154,147,147,147,147,154
Lenox Hill,118,106,118,118,113,113,113,118,118,118,118,106,106,106,106,118
Lighthouse Hill,155,140,155,155,154,154,154,155,155,155,155,140,140,140,140,155
Lincoln Square,235,212,235,235,230,230,230,235,235,235,235,212,212,212,212,235
Lindenwood,95,86,95,95,93,93,93,95,95,95,95,86,86,86,86,95
Long Island City and Astoria,215,198,215,215,213,213,213,215,215,215,215,198,198,198,198,215
Lower East Side,371,356,371,371,369,369,369,371,371,371,371,356,356,356,356,371
Lower Manhattan,98,89,98,98,96,96,96,98,98,98,98,89,89,89,89,98
Madison,71,68,71,71,71,71,71,71,71,71,71,68,68,68,68,71
Malba,88,82,88,88,87,87,87,88,88,88,88,82,82,82,82,88
Manhattan Valley,847,766,847,847,834,834,834,847,847,847,847,766,766,766,766,847
Manhattanville,412,380,412,412,409,409,409,412,412,412,412,380,380,380,380,412
Maspeth,109,104,109,109,109,109,109,109,109,109,109,104,104,104,104,109
Melrose,243,224,243,243,241,241,241,243,243,243,243,224,224,224,224,243
Middle Village,118,106,118,118,118,118,118,118,118,118,118,106,106,106,106,118
Midtown,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Midtown South,117,105,117,117,112,112,112,117,117,117,117,105,105,105,105,117
Mill Basin,124,106,124,124,123,123,123,124,124,124,124,106,106,106,106,124
Morningside Heights,494,458,494,494,488,488,488,494,494,494,494,458,458,458,458,494
Mount Eden,261,251,261,261,261,261,261,261,261,261,261,251,251,251,251,261
Mount Hope,347,320,347,347,347,347,347,347,347,347,347,320,320,320,320,347
Murray Hill,49,44,49,49,48,48,48,49,49,49,49,44,44,44,44,49
Noho,121,109,121,121,120,120,120,121,121,121,121,109,109,109,109,121
North Corona,206,190,206,206,206,206,206,206,206,206,206,190,190,190,190,206
North Riverdale,44,40,44,44,44,44,44,44,44,44,44,40,40,40,40,44
North Side,417,380,417,417,414,414,414,417,417,417,417,380,380,380,380,417
Northeast Bronx,55,52,55,55,54,54,54,55,55,55,55,52,52,52,52,55
Northeast Queens,6,5,6,6,6,6,6,6,6,6,6,5,5,5,5,6
Ocean Parkway,144,123,144,144,144,144,144,144,144,144,144,123,123,123,123,144
Paerdegat Basin,153,131,153,153,151,151,151,153,153,153,153,131,131,131,131,153
Park Slope,480,440,480,480,472,472,472,480,480,480,480,440,440,440,440,480
Pelham Bay,111,109,111,111,111,111,111,111,111,111,111,109,109,109,109,111
Pomonok,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Port Morris,196,181,196,196,195,195,195,196,196,196,196,181,181,181,181,196
Port Richmond,119,114,119,119,117,117,117,119,119,119,119,114,114,114,114,119
Prospect Lefferts Gardens,363,330,363,363,362,362,362,363,363,363,363,330,330,330,330,363
Queens Village,53,49,53,53,52,52,52,53,53,53,53,49,49,49,49,53
Queensboro Hill,87,81,87,87,87,87,87,87,87,87,87,81,81,81,81,87
Queensbridge,184,165,184,184,183,183,183,184,184,184,184,165,165,165,165,184
Randall Manor,123,118,123,123,121,121,121,123,123,123,123,118,118,118,118,123
Red Hook,158,134,158,158,158,158,158,158,158,158,158,134,134,134,134,158
Richmond Hill,85,78,85,85,85,85,85,85,85,85,85,78,78,78,78,85
Rockaway Park,31,28,31,31,31,31,31,31,31,31,31,28,28,28,28,31
Roosevelt Island,85,76,85,85,83,83,83,85,85,85,85,76,76,76,76,85
Rugby,251,228,251,251,251,251,251,251,251,251,251,228,228,228,228,251
Sea Gate,85,72,85,85,85,85,85,85,85,85,85,72,72,72,72,85
Somerville,13,11,13,13,13,13,13,13,13,13,13,11,11,11,11,13
South Jamaica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Ozone Park,104,99,104,104,104,104,104,104,104,104,104,99,99,99,99,104
South Side,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Southeast Queens,17,16,17,17,17,17,17,17,17,17,17,16,16,16,16,17
Southwest Brooklyn,63,60,63,63,62,62,62,63,63,63,63,60,60,60,60,63
Southwest Queens,68,61,68,68,68,68,68,68,68,68,68,61,61,61,61,68
Springfield Gardens,126,117,126,126,126,126,126,126,126,126,126,117,117,117,117,126
Spuyten Duyvil,249,225,249,249,244,244,244,249,249,249,249,225,225,225,225,249
St. Albans,117,110,117,117,116,116,116,117,117,117,117,110,110,110,110,117
Stuyvesant Town,327,299,327,327,323,323,323,327,327,327,327,299,299,299,299,327
Sunnyside Gardens,91,84,91,91,90,90,90,91,91,91,91,84,84,84,84,91
Sunset Park,298,261,298,298,296,296,296,298,298,298,298,261,261,261,261,298
Sutton Place,68,60,68,68,68,68,68,68,68,68,68,60,60,60,60,68
Tottenville,28,26,28,28,28,28,28,28,28,28,28,26,26,26,26,28
Tudor City,17,16,17,17,16,16,16,17,17,17,17,16,16,16,16,17
Turtle Bay,88,82,88,88,85,85,85,88,88,88,88,82,82,82,82,88
Unionport,343,325,343,343,341,341,341,343,343,343,343,325,325,325,325,343
