Neighbourhood,Case Open?,Latitude,Longitude,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open
Allerton,0.05708661417322835,40.8738905153832,-73.87088851518519,10467.0,2016.2716535433071,6.549212598425197,15.318897637795276,2016.4375,6.783333333333333,15.204166666666667,7.25625
Astoria,0.0,40.76922697527717,-73.91616751398296,11103.0,2011.0,3.0,13.0,2011.0,4.0,13.0,31.0
Astoria Heights,0.11538461538461539,40.77682675084331,-73.90942264427815,11105.0,2019.8615384615384,6.884615384615385,14.284615384615385,2019.7478260869566,6.6869565217391305,16.356521739130436,12.104347826086956
Bath Beach,0.07936507936507936,40.60011969654469,-73.99824109535207,11214.0,2016.2539682539682,6.484126984126984,16.206349206349206,2016.2586206896551,6.767241379310345,15.232758620689655,11.224137931034482
Bay Terrace,0.08433734939759036,40.56743286382354,-74.1288125634202,10371.373493975903,2016.2409638554218,6.686746987951807,14.987951807228916,2016.5,7.407894736842105,16.86842105263158,29.75
Baychester,0.1875,40.87808973508172,-73.82810290557182,10475.0,2014.0,7.0625,19.25,2014.0,8.461538461538462,14.461538461538462,13.846153846153847
Bayside,0.09803921568627451,40.760891052430026,-73.77229872302804,11361.0,2017.450980392157,6.745098039215686,15.27450980392157,2017.195652173913,6.826086956521739,14.58695652173913,8.891304347826088
Bayswater,0.09859154929577464,40.601026257426994,-73.75630216848924,11691.0,2017.112676056338,6.76056338028169,15.71830985915493,2017.6825396825398,7.428571428571429,15.206349206349206,22.285714285714285
Bedford Stuyvesant,0.06327543424317618,40.68001825492415,-73.95057083122158,11216.0,2017.4900744416873,6.669975186104218,15.255583126550869,2017.4782034346104,6.801849405548217,15.844121532364596,13.033025099075298
Bellaire,0.05555555555555555,40.74841949747233,-73.76016585798247,11364.0,2015.4444444444443,7.388888888888889,14.88888888888889,2015.0588235294117,7.823529411764706,17.647058823529413,19.764705882352942
Bellerose,0.07142857142857142,40.73596284021083,-73.7216816077164,11426.0,2016.0357142857142,6.571428571428571,16.392857142857142,2015.9615384615386,7.384615384615385,14.807692307692308,14.807692307692308
Belmont,0.07526881720430108,40.86249374566624,-73.88930886151178,10458.0,2016.0709677419354,6.367741935483871,15.350537634408601,2016.311778290993,6.598152424942263,15.722863741339491,11.97690531177829
Boerum Hill,0.09296482412060302,40.68206203856788,-73.97749388909178,11217.0,2016.8693467336684,6.768844221105527,15.193467336683417,2017.0386740331492,7.052486187845304,15.160220994475138,12.232044198895027
Borough Park,0.11926605504587157,40.62781622154608,-73.99268410908954,11213.908256880733,2017.3256880733945,6.922018348623853,15.422018348623853,2017.34375,7.166666666666667,15.416666666666666,10.598958333333334
Briarwood,0.08633093525179857,40.701375885782404,-73.81001556291056,11435.0,2017.36690647482,6.467625899280575,17.136690647482013,2017.5433070866143,6.7637795275590555,16.19685039370079,15.535433070866143
Bronxdale,0.08846153846153847,40.847240299780836,-73.86264598276581,10462.0,2016.7576923076922,6.546153846153846,15.934615384615384,2016.8589211618257,6.925311203319502,15.385892116182573,7.058091286307054
Brookville,0.03636363636363636,40.6750629924432,-73.75122732390356,11413.0,2015.5454545454545,6.818181818181818,17.2,2015.3962264150944,7.0,17.37735849056604,10.754716981132075
Brownsville,0.07604562737642585,40.663180891354386,-73.9156755864715,11212.0,2016.5209125475285,7.019011406844107,15.581749049429657,2016.3877551020407,7.155102040816327,15.220408163265306,14.248979591836735
Bushwick,0.07134220072551391,40.69102711119742,-73.92795864776126,11221.0,2016.645707376058,6.6807738814993956,16.385731559854896,2016.7126137841353,6.82704811443433,15.408322496749024,12.150845253576072
Bushwick and Williamsburg,0.05807622504537205,40.70167851463399,-73.91848657083095,11237.0,2017.3647912885663,6.509981851179673,15.872958257713249,2017.53861003861,6.714285714285714,16.287644787644787,16.563706563706564
Cambria Heights,0.09523809523809523,40.69439667401108,-73.73775153016848,11411.0,2014.8095238095239,6.190476190476191,16.666666666666668,2015.3157894736842,6.7894736842105265,16.473684210526315,9.68421052631579
Canarsie and Flatlands,0.14285714285714285,40.65240522775738,-73.88012817097022,11239.0,2019.4285714285713,6.0,17.714285714285715,2019.3333333333333,7.0,13.5,18.5
Carnegie Hill,0.05555555555555555,40.775796135303445,-73.95265541766075,10028.462962962964,2017.611111111111,6.37962962962963,15.61574074074074,2017.6666666666667,6.5588235294117645,16.627450980392158,8.573529411764707
Castle Hill,0.058823529411764705,40.81841262230508,-73.86130635586937,10473.0,2017.1008403361345,6.966386554621849,15.588235294117647,2017.212389380531,6.982300884955753,14.973451327433628,9.097345132743364
Central Harlem,0.06393244873341375,40.80935134655315,-73.94777513364406,10028.744270205067,2017.6586248492158,6.806996381182147,15.735826296743063,2017.6906290115533,6.876765083440308,15.35173299101412,9.698331193838253
Chelsea and Clinton,0.09448818897637795,40.76301023124483,-73.9886637212043,10027.366141732284,2016.2874015748032,6.586614173228346,16.330708661417322,2016.4372294372295,6.783549783549783,16.073593073593074,8.83982683982684
City Island,0.0,40.84918374332898,-73.7874143491678,10464.0,2017.7857142857142,7.357142857142857,18.5,2017.7857142857142,7.642857142857143,14.428571428571429,4.642857142857143
City Line,0.15555555555555556,40.684623563655656,-73.84947581421507,11416.0,2016.6444444444444,6.977777777777778,15.533333333333333,2016.820512820513,7.333333333333333,16.743589743589745,12.102564102564102
Civic Center,0.06358381502890173,40.719536139796716,-74.00450542106051,10013.0,2016.8670520231215,6.763005780346821,14.895953757225433,2016.9631901840492,6.889570552147239,16.70552147239264,10.214723926380367
Claremont Village,0.06418918918918919,40.825069953118486,-73.89433815648275,10459.0,2016.6148648648648,6.655405405405405,15.60135135135135,2016.812274368231,6.945848375451264,15.429602888086643,13.346570397111913
