Neighbourhood,Case Open?,Latitude,Longitude,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open
Allerton,29,20723.062491299283,-37452.54047719889,5317236.0,1024266,3327,7782,967890.0,3256.0,7298.0,3483.0
Astoria,0,40.76922697527717,-73.91616751398296,11103.0,2011,3,13,2011.0,4.0,13.0,31.0
Astoria Heights,15,5300.98747760963,-9608.22494375616,1443650.0,262582,895,1857,232271.0,769.0,1881.0,1392.0
Bath Beach,10,5075.014962068086,-9249.78013691901,1412964.0,254048,817,2042,233886.0,785.0,1767.0,1302.0
Bay Terrace,7,3367.0969276973537,-6152.691442763877,860824.0,167348,555,1244,153254.0,563.0,1282.0,2261.0
Baychester,3,654.0494357613076,-1181.2496464891492,167600.0,32224,113,308,26182.0,110.0,188.0,180.0
Bayside,5,2038.0445526215015,-3688.614936151402,579411.0,102890,344,779,92791.0,314.0,671.0,409.0
Bayswater,7,2882.6728642773164,-5236.697453962736,830061.0,143215,480,1116,127114.0,468.0,958.0,1404.0
Bedford Stuyvesant,51,32462.654567429472,-59012.555523314826,9040096.0,1626097,5376,12296,1527231.0,5149.0,11994.0,9866.0
Bellaire,1,733.4715509545018,-1327.6829854436844,204552.0,36278,133,268,34256.0,133.0,300.0,336.0
Bellerose,2,1140.6069595259032,-2064.2070850160594,319928.0,56449,184,459,52415.0,192.0,385.0,385.0
Belmont,35,18919.33460424347,-34210.750002879955,4862970.0,937473,2961,7138,873063.0,2857.0,6808.0,5186.0
Boerum Hill,37,16069.414505234312,-29221.11008619125,4464366.0,802714,2694,6047,730168.0,2553.0,5488.0,4428.0
Borough Park,26,8572.469222746222,-15612.456347017893,2444632.0,439777,1509,3362,387330.0,1376.0,2960.0,2035.0
Briarwood,12,5657.491248123754,-10259.592163244568,1589465.0,280414,899,2382,256228.0,859.0,2057.0,1973.0
Bronxdale,23,10620.282477943018,-19204.28795551911,2720120.0,524357,1702,4143,486063.0,1669.0,3708.0,1701.0
Brookville,2,2237.128464584376,-4056.3175028146957,627715.0,110855,375,946,106816.0,371.0,921.0,570.0
Brownsville,20,10694.416574426203,-19439.822679242003,2948756.0,530345,1846,4098,494015.0,1753.0,3729.0,3491.0
Bushwick,59,33285.26017695949,-60473.070173868706,9279767.0,1667766,5525,13551,1550852.0,5250.0,11849.0,9344.0
Bushwick and Williamsburg,32,19903.12079365602,-36146.139933136335,5506130.0,1111568,3587,8746,1045085.0,3478.0,8437.0,8580.0
Cambria Heights,2,854.5823301542327,-1548.4927821335382,239631.0,42311,130,350,38291.0,129.0,313.0,184.0
Canarsie and Flatlands,1,284.56683659430166,-517.1608971967916,78673.0,14136,42,124,12116.0,42.0,81.0,111.0
Carnegie Hill,12,8685.244576819634,-15751.915603961741,2166148.0,435804,1378,3373,411604.0,1338.0,3392.0,1749.0
Castle Hill,7,4816.572689432,-8715.634149992586,1246287.0,240035,829,1855,227945.0,789.0,1692.0,1028.0
Central Harlem,53,33218.811996094264,-60193.48895878626,8313829.0,1672639,5643,13045,1571781.0,5357.0,11959.0,7555.0
Chelsea and Clinton,24,10272.278578273697,-18645.143257743486,2546951.0,512137,1673,4148,465797.0,1567.0,3713.0,2042.0
City Island,0,571.8885724066057,-1033.0238008883493,146496.0,28249,103,259,28249.0,107.0,202.0,65.0
City Line,7,1830.8080603645046,-3323.226411639678,513720.0,90749,314,699,78656.0,286.0,653.0,472.0
Civic Center,11,6963.040679905239,-12654.77042700135,1732249.0,348918,1170,2577,328765.0,1123.0,2723.0,1665.0
Claremont Village,19,12084.220706123071,-21872.72409431889,3095864.0,596918,1970,4618,558657.0,1924.0,4274.0,3697.0
Clinton,2,1467.1834893805242,-2663.750435847998,360648.0,72607,193,594,68570.0,197.0,482.0,282.0
Clinton Hill,36,32299.46112581235,-58727.00085134624,8945250.0,1605857,5387,12294,1535311.0,5374.0,11509.0,11060.0
College Point,4,1182.8048478055293,-2141.496209782873,329324.0,58491,180,556,50442.0,173.0,488.0,558.0
Concord,9,4343.908650010987,-7926.070294299649,1112940.0,217791,733,1697,197634.0,691.0,1757.0,1835.0
Concourse Village,23,18822.842727725383,-34072.23860441004,4830662.0,931651,3108,6978,889359.0,3042.0,7065.0,4149.0
Cypress Hills,48,12040.052284579082,-21866.700808851176,3339984.0,600986,1981,4700,502155.0,1719.0,4063.0,3116.0
Ditmas Park,13,6665.426635374678,-12131.922487935391,1873406.0,337062,1178,2354,312841.0,1109.0,2378.0,2215.0
Douglaston,2,448.35734297422044,-811.0784794243127,124982.0,22176,71,181,18146.0,65.0,179.0,111.0
