Neighbourhood,Unnamed: 0,Distance (m),Zipcode,Reviews,Rating,Price,Latitude,Longitude
"""Prince's Bay""",35234,183.0,41236.0,164.0,9.745098039215687,4.0,162.1050562693925,-296.80610225830634
Annadale,87589,4166.0,123744.0,579.0,25.84313725490196,16.0,486.48549496109257,-890.0838770502354
Aspen Knolls,40200,3283.0,51560.0,456.0,8.69607843137255,6.0,202.75358497345064,-370.9437677782628
Astoria,8364,816.0,11371.0,0.0,2.333333333333333,1.0,40.7703173929982,-73.89467996270574
Battery Park City,26542,2099.0,61679.0,1996.0,23.57843137254902,10.0,244.27058097328455,-444.0933386548489
Bayridge,3426,1184.0,20236.0,0.0,7.098039215686276,3.0,81.25160213002131,-148.06124138707625
Beverly Square West,1999,727.0,0.0,0.0,4.372549019607844,2.0,40.63632589026677,-73.95840106533903
Borough Park,2222009,107621.63139512845,2546974.0,41298.0,743.6098039215686,321.0,9223.31510975325,-16792.532660905097
Bronx Park and Fordham,2468488,119761.16211058584,2657846.0,49494.0,754.3843137254902,305.0,10380.424077502368,-18766.287787555768
Brooklyn Heights,17234,1175.0,20082.0,0.0,8.666666666666668,3.0,81.40660258975888,-147.9766235548081
Bulls Head,8088,692.0,10311.0,0.0,2.725490196078432,1.0,40.60577868452358,-74.18725638381567
Bushwick and Williamsburg,1080059,56542.75390971331,1256621.0,35603.0,468.3980392156863,168.0,4558.476917796998,-8280.389640699865
Canarsie and Flatlands,2910321,155386.8473494774,3179547.0,81461.0,763.4509803921569,330.0,11497.873576997597,-20917.137944101458
Central Brooklyn (Bedford Stuyvesant – Crown Heights),3668318,148053.90199962424,3478750.0,68763.0,1096.0686274509803,428.0,12608.761889811494,-22920.200412455353
Central Harlem,938614,59876.81057260526,932678.0,68542.0,357.11176470588236,152.0,3795.696789336393,-6877.466806560722
Central Queens,1995508,85423.65179951153,1966300.0,44553.0,529.6960784313726,236.0,7046.197703019387,-12767.470940442941
Charleston,31980,2907.0,41236.0,760.0,11.309803921568628,7.0,162.1236704484994,-296.9357212768958
Chelsea and Clinton,3292344,266141.6238444889,2494256.0,366166.0,1045.643137254902,527.0,10147.451630329926,-18424.288630428964
Chrome,8017,541.0,10309.0,271.0,3.3529411764705883,2.0,40.54940400650072,-74.21572851113952
Crotona and Tremont,1455382,65496.574775224995,1599857.0,22346.0,345.4294117647059,144.0,6249.568681655745,-11306.251164127414
East Elmhurst,4939,928.0,11371.0,152.0,3.0,2.0,40.7726351447336,-73.8652746557265
East Harlem,656218,22571.38057204901,571695.0,22044.0,232.95490196078433,90.0,2325.1872148445304,-4214.767116037878
East New York and New Lots,2497040,105476.29244809703,2398396.0,39117.0,556.0313725490196,225.0,8704.085220642753,-15811.247327152334
Flatbush,3506621,121546.08136813904,3028166.0,52582.0,869.8901960784314,328.0,10975.190262546328,-19965.4142616689
Glen Oaks,21435,2758.0,44160.0,36.0,14.892156862745102,6.0,162.99778189922995,-294.85418646997437
Gramercy Park and Murray Hill,2276295,124624.12841755204,1682895.0,141952.0,708.5019607843137,367.0,6846.092817030637,-12427.80930793603
Greenpoint,1548727,69605.58852836546,1525383.0,66984.0,588.8745098039216,251.0,5537.81029309964,-10057.885345433157
