Neighbourhood,Distance (m),Zipcode,Reviews,Rating,Price,Latitude,Longitude
Borough Park,0.0,920046.0,983.0,213.2,0.0,3331.6514273999996,-6066.0154284
Bronx Park and Fordham,0.0,868589.0,1417.0,267.2,0.0,3392.1698019,-6132.2069366999995
Bushwick and Williamsburg,0.0,594452.0,469.0,144.8,0.0,2157.0947237,-3918.6069693
Canarsie and Flatlands,0.0,1179705.0,928.0,275.1,0.0,4266.1805591,-7760.616149799999
Central Brooklyn (Bedford Stuyvesant – Crown Heights),0.0,1200743.0,944.0,326.7,0.0,4352.0427953,-7910.656651599999
Central Harlem,0.0,310902.0,408.0,98.9,0.0,1265.2494058,-2292.5024595
Central Queens,0.0,897913.0,975.0,209.5,0.0,3217.8476639,-5830.4519681
Chelsea and Clinton,0.0,941317.0,2054.0,251.6,0.0,3830.3701917,-6955.6221679
Crotona and Tremont,0.0,721495.0,904.0,222.3,0.0,2818.3577044,-5098.9679381999995
East Harlem,0.0,190557.0,317.0,63.0,0.0,775.0459291,-1404.9379652999999
East New York and New Lots,0.0,930227.0,1169.0,214.7,0.0,3376.0492587999997,-6132.1710609
Flatbush,0.0,1177352.0,1149.0,343.9,0.0,4268.1495356,-7764.2770399
Gramercy Park and Murray Hill,0.0,500798.0,1512.0,160.8,0.0,2037.4443884999998,-3698.8868935
Greenpoint,0.0,459860.0,373.0,123.1,0.0,1669.4967643,-3032.0835423999997
Greenwich Village and Soho,0.0,250328.0,427.0,80.0,0.0,1018.183678,-1849.9101552999998
HighBridge and Morrisania,0.0,533147.0,959.0,163.6,0.0,2082.3154684,-3769.6313477999997
Hunts Point and Mott Haven,0.0,690328.0,633.0,192.0,0.0,2693.7255803,-4877.7438813
Inwood and Washington Heights,0.0,531778.0,670.0,162.7,0.0,2165.1028949,-3918.4559744
Jamaica,0.0,1508501.0,2142.0,337.7,0.0,5372.5769044,-9739.2346316
Kingsbridge and Riverdale,0.0,638467.0,600.0,175.8,0.0,2494.3238009,-4508.396042
Long Island City and Astoria,0.0,1165794.0,1840.0,308.0,0.0,4279.4212492999995,-7762.5070635
Lower Manhattan,0.0,280916.0,381.0,73.4,0.0,1139.8547398,-2072.2334938999998
Mid-Island (Willowbrook),0.0,969516.0,510.0,188.1,0.0,3816.8694864999998,-6969.8632812
North Queens,0.0,1567169.0,1527.0,362.0,0.0,5626.6897131,-10186.5170629
Northeast Bronx,0.0,1057410.0,1177.0,285.7,0.0,4128.8203744,-7458.3628726
Northeast Queens,0.0,738556.0,521.0,144.7,0.0,2649.3977756,-4794.1525102
Northwest Brooklyn ,0.0,1524824.0,2488.0,440.7,0.0,5532.8964015,-10062.3035416
Pelham and Throgs Neck,0.0,1674497.0,1961.0,430.6,0.0,6533.486686599999,-11815.1328306
Port Richmond,0.0,577095.0,350.0,146.3,0.0,2275.36513,-4151.6594156
Rockaways,0.0,982177.0,633.0,158.4,0.0,3409.5987778,-6199.3178183
South Beach and Tottenville,0.0,845142.0,449.0,165.9,0.0,3325.9471221,-6079.0256301
Southeast Queens,0.0,1469100.0,1135.0,276.1,0.0,5250.3746974999995,-9512.1935835
Southern Brooklyn,0.0,1740493.0,1990.0,387.6,0.0,6291.3929868,-11464.0609759
Southwest Brooklyn,0.0,796211.0,1172.0,240.8,0.0,2883.6783239,-5255.2026058
Southwest Queens,0.0,1164559.0,1223.0,268.0,0.0,4149.7279369,-7531.4404085999995
Stapleton and St. George,0.0,1452744.0,946.0,315.9,0.0,5726.6386892,-10445.922101
Sunset Park,0.0,224460.0,127.0,50.4,2.0,813.008978,-1480.1661914
Union Square and Lower East Side,0.0,480207.0,703.0,169.2,0.0,1954.7710861,-3551.2941859
Upper East Side,0.0,593751.0,1812.0,232.6,0.0,2405.5712324,-4363.3614329
Upper West Side,0.0,531279.0,1267.0,194.6,2.0,2161.7774282,-3920.6221474999998
West Central Queens,0.0,1046845.0,2114.0,294.1,0.0,3745.9728357,-6795.9275307
West Queens,0.0,1535248.0,2469.0,359.1,0.0,5500.742355599999,-9973.8974195
