Neighbourhood,Unnamed: 0,Distance (m),Name,Zipcode,Reviews,Rating,Price,Latitude,Longitude,Borough
Borough Park,81,0,81,81,29,29,0,81,81,81
Bronx Park and Fordham,90,0,90,90,33,33,0,90,90,90
Bushwick and Williamsburg,39,0,39,39,12,12,0,39,39,39
Canarsie and Flatlands,138,0,138,138,28,28,0,138,138,138
Central Brooklyn (Bedford Stuyvesant – Crown Heights),100,0,100,100,29,29,0,100,100,100
Central Harlem,42,0,42,42,12,12,0,42,42,42
Central Queens,62,0,62,62,12,12,0,62,62,62
Chelsea and Clinton,63,0,63,63,34,34,0,63,63,63
Crotona and Tremont,75,0,75,75,35,35,0,75,75,75
East Harlem,14,0,14,14,7,7,0,14,14,14
East New York and New Lots,88,0,88,88,28,28,0,88,88,88
Flatbush,111,0,111,111,44,44,0,111,111,111
Gramercy Park and Murray Hill,67,0,67,67,28,28,1,67,67,67
Greenpoint,51,0,51,51,20,20,0,51,51,51
Greenwich Village and Soho,60,0,60,60,34,34,0,60,60,60
HighBridge and Morrisania,65,0,65,65,24,24,0,65,65,65
Hunts Point and Mott Haven,61,0,61,61,21,21,0,61,61,61
Inwood and Washington Heights,51,0,51,51,16,16,0,51,51,51
Jamaica,139,0,139,139,47,47,0,139,139,139
Kingsbridge and Riverdale,71,0,71,71,22,22,0,71,71,71
Long Island City and Astoria,125,0,125,125,41,41,0,125,125,125
Lower Manhattan,38,0,38,38,18,18,0,38,38,38
Mid-Island (Willowbrook),136,0,136,136,27,27,0,136,136,136
North Queens,133,0,133,133,30,30,0,133,133,133
Northeast Bronx,111,0,111,111,36,36,0,111,111,111
Northeast Queens,58,0,58,58,9,9,0,58,58,58
Northwest Brooklyn ,160,0,160,160,69,69,0,160,160,160
Pelham and Throgs Neck,214,0,214,214,71,71,0,214,214,214
Port Richmond,93,0,93,93,14,14,0,93,93,93
Rockaways,128,0,128,128,45,45,0,128,128,128
South Beach and Tottenville,170,0,170,170,24,24,0,170,170,170
Southeast Queens,140,0,140,140,32,32,0,140,140,140
Southern Brooklyn,129,0,129,129,31,31,0,129,129,129
Southwest Brooklyn,63,0,63,63,16,16,0,63,63,63
Southwest Queens,98,0,98,98,27,27,0,98,98,98
Stapleton and St. George,286,0,286,286,79,79,0,286,286,286
Sunset Park,17,0,17,17,11,11,0,17,17,17
Union Square and Lower East Side,77,0,77,77,34,34,0,77,77,77
Upper East Side,73,0,73,73,25,25,0,73,73,73
Upper West Side,56,0,56,56,18,18,0,56,56,56
West Central Queens,93,0,93,93,41,41,0,93,93,93
West Queens,121,0,121,121,39,39,0,121,121,121
