Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Allerton,,11.666666666666666,4.5,,40.875437328125,-73.87144714375,10467.0
Astoria Heights,,1.6666666666666667,4.1000000000000005,,40.773656,-73.90358784375,11105.0
Bath Beach,,1.2,4.2,,40.60178692631579,-73.99725067894737,11214.0
Bay Terrace,,14.5,4.4,,40.64883354571428,-73.98833106,10308.0
Baychester,,3.5555555555555554,4.188888888888889,,40.876519045,-73.82990708499999,10475.0
Bayside,,11.25,3.725,,40.76669571764706,-73.77439233529411,11361.0
Bayswater,,12.25,3.85,,40.60288688333333,-73.76128806333332,11691.0
Bedford Stuyvesant,,1.0,5.0,,40.682933074999994,-73.94588854999999,11216.0
Bellaire,,,,,40.744694499999994,-73.75452067647059,11364.0
Bellerose,,1.25,4.25,,40.729277464285715,-73.72117010714285,11426.0
Belmont,,7.565217391304348,4.126086956521739,,40.864224044736844,-73.88905028421053,10458.0
Blissville,,1.0,1.0,,40.73671700000001,-73.931618,11101.0
Boerum Hill,,32.166666666666664,4.166666666666667,,40.6832847125,-73.97810108125,11217.0
Borough Park,,1.1428571428571428,4.5,,40.62698834,-73.9920215,11219.0
Briarwood,,1.8333333333333333,4.7,,40.70894111538461,-73.81516884615384,11435.0
Bronxdale,,3.5,3.775,,40.84231052285714,-73.86041153428572,10462.0
Brookville,,1.0,3.6666666666666665,,40.66341700416667,-73.75425560833334,11413.0
Brownsville,,1.1666666666666667,4.166666666666667,,40.66170433928572,-73.91396891071429,11212.0
Bushwick,,4.4,4.32,,40.69273702272727,-73.93295286818181,11221.0
Bushwick and Williamsburg,,,,,40.699957,-73.92036625,
Cambria Heights,,1.0,5.0,,40.6918479,-73.7358426,11411.0
Canarsie and Flatlands,,1.4,4.2,,40.648054612500005,-73.88071345624999,
Carnegie Hill,,1.4285714285714286,4.0,,40.777604913333334,-73.95188814666666,10028.0
Castle Hill,,21.636363636363637,3.6545454545454548,,40.818066304,-73.856112324,10473.0
Central Harlem,,1.0,5.0,,40.8159358,-73.94332739,10030.0
Chelsea and Clinton,,52.0,4.133333333333334,,40.76086631,-73.99000469,
City Island,,1.0,5.0,,40.84642541666667,-73.78634058333334,10464.0
City Line,,1.0,1.0,,40.684812,-73.84865592857143,11416.0
Civic Center,,27.22222222222222,3.6555555555555554,,40.71993347,-74.00600865999999,10013.0
Claremont Village,,1.5,4.375,,40.82241249333333,-73.89748239333333,10459.0
Clinton,,,,,40.758534533333325,-73.99785915,10018.0
Clinton Hill,,1.0,5.0,,40.6804242,-73.96624309444445,11238.0
College Point,,1.6666666666666667,3.233333333333333,,40.784560854545454,-73.84048240909091,11356.0
Concord,,2.53125,4.24375,,40.59739120178572,-74.07656723928572,10305.0
Concourse Village,,2.4,4.2700000000000005,,40.83048017826087,-73.9077995173913,10456.0
Cypress Hills,,12.31578947368421,4.0736842105263165,,40.67685550612245,-73.87522827551021,11208.0
Ditmas Park,,28.5,3.525,,40.6454348375,-73.979081125,11218.0
Douglaston,,1.0,3.0,,40.76858464285714,-73.73845605,11362.0
Dumbo,,15.457142857142857,3.94,,40.69519511774193,-73.98916461612903,11201.0
East Harlem,,1.4285714285714286,3.0714285714285716,,40.79189670714286,-73.94403199999999,10035.0
East Tremont,,1.5,4.5,,40.84697372,-73.89587137,10457.0
East Williamsburg,,16.5,3.05,,40.706091457142854,-73.94013213571428,11206.0
Edenwald,,4.0,4.5,,40.866882407999995,-73.84963295,10469.0
Edgewater Park,,1.4285714285714286,3.7142857142857144,,40.825983332727276,-73.81962038181818,10465.0
Elm Park,,1.4444444444444444,3.5555555555555554,,40.634286025,-74.1597313625,10303.0
Erasmus,,9.32,3.872,,40.6471274787234,-73.9563945212766,11226.0
Financial District,,90.0,4.133333333333333,,40.7081918,-74.0019001,10038.0
Flatbush,,1.0,5.0,,40.630952666666666,-73.95463583333333,11218.0
Flatiron,,9.1,4.1,,40.74418876666667,-74.0010562,10011.0
Floral Park,,1.0,4.5,,40.74413732631579,-73.71233012631579,11004.0
Flushing,,1.75,3.775,,40.76471211333333,-73.82309824666666,11354.0
Forest Hills Gardens,,11.3125,3.95625,,40.721183790625,-73.84393495625,11375.0
Fort Greene,,1.0,4.0,,40.69377355555556,-73.96914542222221,11205.0
Fort Hamilton,,14.222222222222221,3.4000000000000004,,40.61955452631579,-74.03018109473683,11209.0
Fox Hills,,3.72,4.308,,40.61438131,-74.084771075,10304.0
Gerritsen Beach,,5.153846153846154,4.576923076923077,,40.58220282083333,-73.94793047083333,11235.0
Glendale,,8.3,4.279999999999999,,40.70541739285714,-73.88716378571428,11385.0
Gramercy,,6.0,4.257142857142857,,40.738431686206894,-73.98509600689655,10010.0
Gravesend,,8.333333333333334,4.0,,40.59642241304348,-73.97076319130434,11223.0
Greenpoint,,16.666666666666668,3.9333333333333336,,40.72994695333333,-73.95429777333334,11222.0
