Neighbourhood,Ride Count
Astoria Heights,1
Bedford Stuyvesant,1
Belmont,1
Boerum Hill,1
Borough Park,1
Briarwood,1
Brownsville,1
Bushwick,1
Bushwick and Williamsburg,1
Carnegie Hill,1
Central Harlem,1
Chelsea and Clinton,1
Civic Center,1
Clinton,1
Clinton Hill,1
Ditmas Park,1
Dumbo,1
East Harlem,1
East Williamsburg,1
Erasmus,1
Financial District,1
Flatiron,1
Flushing,1
Forest Hills Gardens,1
Fort Greene,1
Fort Hamilton,1
Fox Hills,1
Gerritsen Beach,1
Glendale,1
Gramercy,1
Greenpoint,1
Greenwich Village,1
Hamilton Heights,1
HighBridge and Morrisania,1
Highland Park,1
Hillcrest,1
Hudson Yards,1
Hunts Point,1
Inwood,1
Inwood and Washington Heights,1
Jackson Heights,1
Jamaica,1
Lefrak City,1
Lenox Hill,1
Lincoln Square,1
Long Island City and Astoria,1
Lower East Side,1
Lower Manhattan,1
Manhattan Valley,1
Manhattanville,1
Midtown,1
Midtown South,1
Morningside Heights,1
Mount Eden,1
Noho,1
North Corona,1
North Riverdale,1
North Side,1
Ocean Parkway,1
Park Slope,1
Prospect Lefferts Gardens,1
Queensboro Hill,1
Queensbridge,1
Randall Manor,1
Red Hook,1
Roosevelt Island,1
Rugby,1
Sea Gate,1
South Ozone Park,1
South Side,1
Southwest Brooklyn,1
Spuyten Duyvil,1
Stuyvesant Town,1
Sunnyside Gardens,1
Sunset Park,1
Sutton Place,1
Tudor City,1
Turtle Bay,1
Upper East Side,1
Upper West Side,1
Van Nest,1
Washington Heights,1
Weeksville,1
West Central Queens,1
West Queens,1
West Village,1
Wingate,1
