Neighbourhood,Ride Count
Astoria Heights,11
Bedford Stuyvesant,35
Belmont,2
Boerum Hill,153
Borough Park,1
Briarwood,1
Brownsville,4
Bushwick,28
Bushwick and Williamsburg,49
Carnegie Hill,326
Central Harlem,33
Chelsea and Clinton,1828
Civic Center,978
Clinton,558
Clinton Hill,151
Ditmas Park,11
Dumbo,355
East Harlem,97
East Williamsburg,88
Erasmus,7
Financial District,196
Flatiron,1068
Flushing,4
Forest Hills Gardens,1
Fort Greene,120
Fort Hamilton,7
Fox Hills,4
Gerritsen Beach,1
Glendale,3
Gramercy,557
Greenpoint,156
Greenwich Village,946
Hamilton Heights,4
HighBridge and Morrisania,15
Highland Park,1
Hillcrest,1
Hudson Yards,970
Hunts Point,1
Inwood,3
Inwood and Washington Heights,6
Jackson Heights,1
Jamaica,5
Lefrak City,1
Lenox Hill,200
Lincoln Square,454
Long Island City and Astoria,18
Lower East Side,487
Lower Manhattan,612
Manhattan Valley,187
Manhattanville,8
Midtown,6
Midtown South,721
Morningside Heights,57
Mount Eden,6
Noho,883
North Corona,27
North Riverdale,6
North Side,338
Ocean Parkway,3
Park Slope,153
Prospect Lefferts Gardens,14
Queensboro Hill,2
Queensbridge,91
Randall Manor,11
Red Hook,117
Roosevelt Island,12
Rugby,2
Sea Gate,6
South Ozone Park,1
South Side,2
Southwest Brooklyn,1
Spuyten Duyvil,3
Stuyvesant Town,409
Sunnyside Gardens,4
Sunset Park,12
Sutton Place,333
Tudor City,607
Turtle Bay,965
Upper East Side,673
Upper West Side,346
Van Nest,1
Washington Heights,18
Weeksville,4
West Central Queens,2
West Queens,20
West Village,965
Wingate,7
