distance,name,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,req_cat
127,Lollipops Gelato,1.0,8.6,40.893585,-73.843692,40.893585,-73.843692,13065
797,Ripe Kitchen and Bar,2.0,8.4,40.898196,-73.838821,40.898196,-73.838821,13065
821,Ali's Roti Shop,1.0,8.1,40.89395,-73.856803,40.89395,-73.856803,13065
983,Jimbo's Hamburger Palace,1.0,8.0,40.891853,-73.858478,40.891853,-73.858478,13065
454,Cooler Runnings Jamaican Restaurant,2.0,6.4,40.898173,-73.850254,40.898173,-73.850254,13065
902,McDonald's,1.0,6.7,40.902676,-73.849585,40.902676,-73.849585,13065
832,E & L Bakery,1.0,6.6,40.893511,-73.85705,40.893511,-73.85705,13065
752,Popeyes Louisiana Kitchen,1.0,6.6,40.898329,-73.854684,40.898329,-73.854684,13065
660,Popeyes Louisiana Kitchen,1.0,5.8,40.889008,-73.843044,40.889008,-73.843044,13065
448,Lammy's Restaurant,2.0,,40.890909,-73.848983,40.890909,-73.848983,13065
622,New China Elim,2.0,,40.89793,-73.853356,40.89793,-73.853356,13065
702,Rincon Latino Restaura,2.0,,40.897403,-73.854957,40.897403,-73.854957,13065
708,H.I.M Ital Health Food Market,2.0,,40.897791,-73.854577,40.897791,-73.854577,13065
889,McDonald's,1.0,5.7,40.892799,-73.857418,40.892799,-73.857418,13065
727,M & Y Gourmet Deli,1.0,,40.89851,-73.853946,40.89851,-73.853946,13065
751,El Jobo Seafood Restaurant,2.0,,40.892679,-73.855793,40.892679,-73.855793,13065
803,Top Choice,2.0,,40.898483,-73.854997,40.898483,-73.854997,13065
804,Carifesta Restaurant,2.0,,40.894704,-73.856918,40.894704,-73.856918,13065
808,Dragon Star Chinese Food,1.0,,40.893899,-73.85667,40.893899,-73.85667,13065
810,Wakefield Deli,1.0,,40.901935,-73.846886,40.901935,-73.846886,13065
810,Jerk House,2.0,,40.894715,-73.85648,40.894715,-73.85648,13065
