,Distance (m),Name,Price,Rating,Borough,Neighborhood,Zipcode,Latitude,Longitude,Category
0,127.0,Lollipops Gelato,1.0,8.6,Bronx,Edenwald,10466.0,40.89470517661,-73.84720052054902,restaurant
1,797.0,Ripe Kitchen and Bar,2.0,8.4,Mount Vernon,Wakefield,10550.0,40.89470517661,-73.84720052054902,restaurant
2,821.0,Ali's Roti Shop,1.0,8.1,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
3,983.0,Jimbo's Hamburger Palace,1.0,8.0,Bronx,Williambridge,10466.0,40.89470517661,-73.84720052054902,restaurant
4,454.0,Cooler Runnings Jamaican Restaurant,2.0,6.4,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
5,902.0,McDonald's,1.0,6.7,Bronx,Wakefield,10470.0,40.89470517661,-73.84720052054902,restaurant
6,832.0,E & L Bakery,1.0,6.6,Bronx,,10466.0,40.89470517661,-73.84720052054902,restaurant
7,752.0,Popeyes Louisiana Kitchen,1.0,6.6,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
8,660.0,Popeyes Louisiana Kitchen,1.0,5.8,Bronx,Edenwald,10466.0,40.89470517661,-73.84720052054902,restaurant
9,448.0,Lammy's Restaurant,2.0,,Bronx,Edenwald,10466.0,40.89470517661,-73.84720052054902,restaurant
10,622.0,New China Elim,2.0,,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
11,702.0,Rincon Latino Restaura,2.0,,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
12,708.0,H.I.M Ital Health Food Market,2.0,,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
13,889.0,McDonald's,1.0,5.7,Bronx,Williamsbridge,10466.0,40.89470517661,-73.84720052054902,restaurant
14,727.0,M & Y Gourmet Deli,1.0,,Bronx,Wakefield,10470.0,40.89470517661,-73.84720052054902,restaurant
15,751.0,El Jobo Seafood Restaurant,2.0,,Bronx,Williamsbridge,10466.0,40.89470517661,-73.84720052054902,restaurant
16,803.0,Top Choice,2.0,,Bronx,Wakefield,10470.0,40.89470517661,-73.84720052054902,restaurant
17,804.0,Carifesta Restaurant,2.0,,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
18,808.0,Dragon Star Chinese Food,1.0,,Bronx,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
19,810.0,Wakefield Deli,1.0,,Bronx,Wakefield,10470.0,40.89470517661,-73.84720052054902,restaurant
20,810.0,Jerk House,2.0,,New York,Wakefield,10466.0,40.89470517661,-73.84720052054902,restaurant
21,819.0,Inn At the Border,,,Mount Vernon,Wakefield,10550.0,40.89470517661,-73.84720052054902,restaurant
22,845.0,Original Joe's Pizza,1.0,,Bronx,,10466.0,40.89470517661,-73.84720052054902,restaurant
23,866.0,Kennedy Fried Chicken & Pizza,1.0,,Bronx,Williamsbridge,10466.0,40.89470517661,-73.84720052054902,restaurant
24,866.0,New Double Dragon Chinese,1.0,,Bronx,Williambridge,10466.0,40.89470517661,-73.84720052054902,restaurant
25,734.0,Panera Bread,2.0,8.1,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
26,1058.0,Bagel Cafe,1.0,8.6,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
27,631.0,Red Lobster,2.0,7.9,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
28,715.0,Country Thyme Cuisine,2.0,8.0,Bronx,,10469.0,40.87429419303012,-73.82993910812398,restaurant
29,542.0,Sangria Cafe,2.0,7.6,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
30,678.0,Chipotle Mexican Grill,1.0,7.3,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
31,459.0,Bagels On Bartow,1.0,6.8,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
32,639.0,Popeyes Louisiana Kitchen,2.0,6.7,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
33,774.0,Shake Shack,1.0,6.7,Bronx,,10475.0,40.87429419303012,-73.82993910812398,restaurant
34,805.0,Dallas BBQ,2.0,6.6,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
35,709.0,Pizza Hut,1.0,6.4,Bronx,Baychester,10469.0,40.87429419303012,-73.82993910812398,restaurant
36,623.0,McDonald's,1.0,6.3,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
37,231.0,Capri II Pizzeria,1.0,5.9,New York,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
38,218.0,Town House Restaurant,2.0,5.8,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
39,1163.0,"""""""""""""Nathan's Famous""""""""""""",1.0,6.4,New York,Hillside,10475.0,40.87429419303012,-73.82993910812398,restaurant
40,271.0,Guang Hui Restaurant Inc.,1.0,,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
41,1060.0,Dragon City,2.0,6.3,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
42,884.0,Golden Krust Caribbean Restaurant,2.0,6.1,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
43,2481.0,The Dumplin Shop,2.0,6.7,Bronx,,10469.0,40.87429419303012,-73.82993910812398,restaurant
44,459.0,Bartow Pizza,1.0,,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
45,599.0,BBQ's,2.0,,New York,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
46,650.0,New Green Dragon,2.0,,Bronx,Coop City,10475.0,40.87429419303012,-73.82993910812398,restaurant
47,691.0,Joyful Dragon Chinese Restaurant,1.0,,Bronx,Baychester,10469.0,40.87429419303012,-73.82993910812398,restaurant
48,824.0,Golden Glow Cookie Co.,1.0,,Bronx,Baychester,10469.0,40.87429419303012,-73.82993910812398,restaurant
49,842.0,Baychester Deli Grocery,1.0,,Bronx,Baychester,10475.0,40.87429419303012,-73.82993910812398,restaurant
50,136.0,Cozy Cottage,1.0,8.3,Bronx,Coop City,10466.0,40.887555677350775,-73.82780644716412,restaurant
51,241.0,Fish N' Ting,2.0,8.2,Bronx,,10466.0,40.887555677350775,-73.82780644716412,restaurant
52,559.0,Taco Bell,1.0,8.3,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
53,313.0,Mario's Pizzeria,1.0,7.5,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
54,858.0,Panera Bread,1.0,8.2,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
55,363.0,Dyre Fish Market,3.0,7.5,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
56,672.0,Smashburger,2.0,7.9,Pelham,,10466.0,40.887555677350775,-73.82780644716412,restaurant
57,769.0,Dave & Buster's,1.0,7.7,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
58,743.0,IHOP,2.0,7.6,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
59,904.0,Yumi Asian Bistro,2.0,7.7,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
60,1063.0,Chipotle Mexican Grill,1.0,7.7,Pelham,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
61,294.0,Golden Krust Caribbean Bakery And Grill,2.0,6.7,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
62,664.0,Gardens Bar & Grill,2.0,7.0,Mount Vernon,,10550.0,40.887555677350775,-73.82780644716412,restaurant
63,963.0,Five Guys Burgers & Fries,1.0,7.2,Pelham Manor,Parkside,10803.0,40.887555677350775,-73.82780644716412,restaurant
64,698.0,Wendy’s,1.0,7.0,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
65,838.0,Wingstop,1.0,6.9,Pelham,Coop City,10803.0,40.887555677350775,-73.82780644716412,restaurant
66,555.0,Best Chinese Restaurant,1.0,6.7,Bronx,North Baychester,10475.0,40.887555677350775,-73.82780644716412,restaurant
67,301.0,Dyre Deli Grocery,1.0,6.4,Bronx,North Baychester,10466.0,40.887555677350775,-73.82780644716412,restaurant
68,228.0,McDonald's,1.0,6.0,Bronx,Coop City,10475.0,40.887555677350775,-73.82780644716412,restaurant
