,Name,Price,Rating,Reviews,Address,Latitude,Longitude,Category
54,Prime 33 Banquet hall #1,2.0,4.3,150.0,"3323 Merritt Avenue, The Bronx",40.8817875,-73.8267549,restaurant
80,An Beal Bocht Cafe,2.0,4.6,534.0,"445 West 238th Street, The Bronx",40.887375,-73.90495299999999,restaurant
82,Goodfellas Riverdale 🍕,2.0,3.8,171.0,"3661 Waldo Avenue, The Bronx",40.8870265,-73.9043875,restaurant
84,Corner Cafe & Bakery,1.0,4.4,164.0,"3718 Riverdale Avenue, The Bronx",40.8872663,-73.9069201,restaurant
85,Salvatore's,2.0,4.4,656.0,"3738 Riverdale Avenue, The Bronx",40.88763120000001,-73.9069547,restaurant
89,Kai Fan,2.0,4.2,136.0,"3717 Riverdale Avenue, The Bronx",40.8872936,-73.9074783,restaurant
91,Blackstone Bar & Grill,2.0,4.4,302.0,"3713 Riverdale Avenue, The Bronx",40.8871702,-73.9073633,restaurant
94,Tiny's Diner,1.0,4.0,223.0,"3603 Riverdale Avenue, The Bronx",40.88673429999999,-73.9073063,restaurant
96,Yo-Burger,1.0,4.5,817.0,"3726 Riverdale Avenue, The Bronx",40.887428,-73.9069516,restaurant
97,Tin Marín,2.0,4.5,855.0,"3708 Riverdale Avenue, The Bronx",40.8870397,-73.9068549,restaurant
98,Greek Express,1.0,4.4,296.0,"3733 Riverdale Avenue, The Bronx",40.8874702,-73.90753769999999,restaurant
105,Starbucks,2.0,4.1,411.0,"3503 Johnson Avenue, The Bronx",40.885827,-73.91011000000002,restaurant
106,Liebman’s Deli,2.0,4.4,730.0,"552 West 235th Street, The Bronx",40.885467,-73.909635,restaurant
113,Broadway Joe's Pizza,1.0,4.5,247.0,"5985 Broadway, The Bronx",40.8900398,-73.89838519999999,restaurant
120,IHOP,1.0,4.2,2485.0,"5645 Broadway, The Bronx",40.88042710000001,-73.9041769,restaurant
121,Playoffs Sports Lounge,2.0,3.9,717.0,"5668 Broadway, The Bronx",40.8806722,-73.902624,restaurant
123,Malecon,2.0,4.1,1331.0,"5592 Broadway, The Bronx",40.8792538,-73.90422029999999,restaurant
127,Foo Hing Kitchen,,3.4,46.0,"2895 Sedgwick Avenue, The Bronx",40.87503299999999,-73.9013964,restaurant
133,Mi Lindo San Miguelito,1.0,4.4,147.0,"257 West 231st Street, The Bronx",40.88009,-73.9067376,restaurant
149,Carifesta Restaurant,,4.2,133.0,"4251 White Plains Road, The Bronx",40.8947879,-73.8568142,restaurant
201,Red Lobster,2.0,3.9,2552.0,"BAY PLAZA SHOPPING CENTER, 2090 Bartow Avenue, The Bronx",40.86906,-73.82699,restaurant
202,Pizza Hut,1.0,3.6,439.0,"2829 Edson Avenue, The Bronx",40.8686219,-73.8338077,restaurant
203,Panera Bread,2.0,3.8,1035.0,"340 Baychester Avenue, The Bronx",40.8678663,-73.8278447,restaurant
205,Popeyes Louisiana Kitchen,1.0,3.8,1330.0,"360 Baychester Avenue, The Bronx",40.8686099,-73.83112489999999,restaurant
206,Dunkin',1.0,3.8,197.0,"Bp Gas Station, 1930 Bartow Avenue, The Bronx",40.8677989,-73.83337379999999,restaurant
207,Wingstreet,2.0,4.3,22.0,"2829 Edson Avenue, The Bronx",40.8685848,-73.8338532,restaurant
210,Sangria Cafe,2.0,4.1,1218.0,"2085 Bartow Avenue, The Bronx",40.86976070000001,-73.8277042,restaurant
219,Burger King,1.0,3.6,497.0,"2200 Bartow Avenue, The Bronx",40.8673426,-73.82509379999999,restaurant
260,Papa Johns Pizza,1.0,3.5,208.0,"362 East 204th Street, The Bronx",40.8716,-73.877584,restaurant
261,House Pizza,1.0,4.0,150.0,"246 East 204th Street, The Bronx",40.87404349999999,-73.88453299999999,restaurant
262,Choi Yuan,1.0,4.1,143.0,"4 Bedford Park Boulevard, The Bronx",40.8729239,-73.88915089999999,restaurant
264,National,1.0,4.2,275.0,"8 Bedford Park Boulevard, The Bronx",40.87291709999999,-73.88908119999999,restaurant
265,Dunkin',1.0,3.3,126.0,"Bp Gas Station, 3059 Webster Avenue, The Bronx",40.8703443,-73.87885,restaurant
268,Villa Pizza Restaurant,1.0,4.0,45.0,"3133 Villa Avenue, The Bronx",40.8755506,-73.8876183,restaurant
270,Subway,1.0,3.8,87.0,"311 East 204th Street, The Bronx",40.87284999999999,-73.8782524,restaurant
271,Domino's Pizza,1.0,2.7,350.0,"315 East 204th Street, The Bronx",40.8728802,-73.8781509,restaurant
276,Mar Y Tierra,,3.8,276.0,"3236 Bainbridge Avenue, The Bronx",40.8766092,-73.8795049,restaurant
308,Las Sirenas,1.0,4.2,184.0,"1896 Jerome Avenue, The Bronx",40.8499621,-73.9104406,restaurant
315,Elena's Mexican Restaurant,,3.6,269.0,"5 West Tremont Avenue, The Bronx",40.852131,-73.90959400000001,restaurant
319,Empanadas RD,1.0,4.2,483.0,"1971 University Avenue, The Bronx",40.85445860000001,-73.9121115,restaurant
322,McDonald's,1.0,3.5,1280.0,"36 West Fordham Road, The Bronx",40.8624921,-73.9028908,restaurant
324,Papaye,2.0,4.0,567.0,"2300 Grand Concourse, The Bronx",40.85740699999999,-73.8995036,restaurant
325,Caridad,1.0,3.8,394.0,"2230 Grand Concourse, The Bronx",40.856087,-73.900317,restaurant
360,Subway,1.0,4.2,91.0,"961 East 174th Street, The Bronx",40.8377802,-73.8844752,restaurant
361,IHOP,1.0,3.9,1412.0,"961 East 174th Street, The Bronx",40.8376185,-73.8845548,restaurant
362,Jimbo's Hamburger Palace,1.0,3.9,332.0,"346 Devoe Avenue, The Bronx",40.83918010000001,-73.8777906,restaurant
363,Domino's Pizza,1.0,2.6,660.0,"921 East Tremont Avenue Ste A, The Bronx",40.84194919999999,-73.8836145,restaurant
364,Papa Johns Pizza,1.0,3.6,227.0,"868 East Tremont Avenue, The Bronx",40.8428499,-73.88621859999999,restaurant
365,Popeyes Louisiana Kitchen,1.0,4.1,502.0,"949 East 174th Street, The Bronx",40.8369301,-73.8856174,restaurant
366,Chinese Fried Chicken,1.0,3.9,113.0,"985 East 174th Street, The Bronx",40.83651450000001,-73.88485140000002,restaurant
368,East Tremont Pizza,1.0,4.4,94.0,"924 East Tremont Avenue, The Bronx",40.8414642,-73.88374259999999,restaurant
371,Taco Bell,1.0,3.7,598.0,"961 East 174th Street, The Bronx",40.83742189999999,-73.88474409999999,restaurant
375,Roy's Restaurant Bar,1.0,4.0,804.0,"880 East Tremont Avenue, The Bronx",40.8427224,-73.8859136,restaurant
376,EL Nuevo Valle #2,1.0,4.0,520.0,"855 East 180th Street, The Bronx",40.8457403,-73.8834777,restaurant
377,El Gran Valle,2.0,3.8,212.0,"920 East 174th Street, The Bronx",40.8371396,-73.88746549999999,restaurant
378,Dunkin',1.0,3.9,205.0,"1779 Southern Boulevard, The Bronx",40.8380219,-73.8877653,restaurant
379,Tex's Chicken & Burgers,1.0,4.0,323.0,"2104 Crotona Parkway, The Bronx",40.8458783,-73.8837331,restaurant
386,Jc Green Life Nyc,2.0,4.0,113.0,"1343 Ogden Avenue, The Bronx",40.84105479999999,-73.92530339999999,restaurant
390,Suyo,2.0,4.5,826.0,"1401 Plaza Drive, The Bronx",40.840605,-73.918249,restaurant
392,Subway,1.0,4.2,123.0,"18 East 170th Street, The Bronx",40.8399142,-73.9173431,restaurant
396,El Nuevo Patio,,4.0,316.0,"1388 Edward L Grant Highway, The Bronx",40.8417901,-73.92210399999999,restaurant
423,Mi Romance Ecuatoriano Lucho Barrios,2.0,4.1,267.0,"524A Brook Avenue, The Bronx",40.8144236,-73.9148787,restaurant
440,Pio Pio,2.0,4.3,1654.0,"264 Cypress Avenue, The Bronx",40.8059859,-73.91404519999999,restaurant
441,No.1 Wok,1.0,3.9,172.0,"260 Cypress Avenue, The Bronx",40.805894,-73.9140642,restaurant
442,Master Grill,1.0,4.1,116.0,"262 Cypress Avenue, The Bronx",40.8059453,-73.9140183,restaurant
443,Kennedy Fried Chicken,1.0,4.0,51.0,"548 East 138th Street, The Bronx",40.8066572,-73.917773,restaurant
444,El Don Pichon,1.0,4.0,93.0,"359 Southern Boulevard, The Bronx",40.807323,-73.90833649999999,restaurant
445,Eat Better Deli and Grill,,4.1,43.0,"4202, 527 East 137th Street, The Bronx",40.8066811,-73.9189421,restaurant
446,El Taquitos,1.0,4.2,102.0,"138 Brook Avenue, The Bronx",40.805139,-73.92090069999999,restaurant
447,Shell,2.0,3.4,60.0,"119 Bruckner Boulevard, The Bronx",40.8046694,-73.92170469999999,restaurant
448,El Cantinero Poblano,,3.8,17.0,"231 Brook Avenue, The Bronx",40.80741999999999,-73.9195895,restaurant
449,Tex’s Chicken & Burgers,1.0,4.0,353.0,"235 Brook Avenue, The Bronx",40.8078979,-73.9193459,restaurant
461,Subway,1.0,3.9,72.0,"839 D Prospect Avenue, The Bronx",40.8199389,-73.9018567,restaurant
474,Dunkin',1.0,4.1,135.0,"839 Prospect Avenue, The Bronx",40.81997529999999,-73.9018064,restaurant
482,Allen's Restaurant,2.0,3.3,68.0,"1201 Randall Avenue, The Bronx",40.81173560000001,-73.8902596,restaurant
483,New Pepperonis Pizza,1.0,4.1,41.0,"1308 Lafayette Avenue, The Bronx",40.81656799999999,-73.886682,restaurant
500,Subway,1.0,3.6,101.0,"1047 East 163rd Street, The Bronx",40.8211608,-73.89106,restaurant
501,Popeyes Louisiana Kitchen,1.0,3.8,518.0,"499 East 163rd Street, The Bronx",40.8248919,-73.90952229999999,restaurant
502,El Valle,1.0,3.7,679.0,"1008 Westchester Avenue, The Bronx",40.8235502,-73.8934237,restaurant
504,Crown Fried Chicken,1.0,3.9,115.0,"921 Prospect Avenue, The Bronx",40.821851,-73.9009287,restaurant
507,McDonald's,1.0,3.4,1819.0,"3279 3rd Avenue, The Bronx",40.8251833,-73.908625,restaurant
508,Subway,1.0,3.9,112.0,"3209 3rd Avenue Ground Floor, The Bronx",40.8233742,-73.9093419,restaurant
510,Kennedy Fried Chicken,1.0,3.8,53.0,"733 Westchester Avenue, The Bronx",40.8176966,-73.9060743,restaurant
512,Margarita's,1.0,4.6,558.0,"915 Avenue Saint John, The Bronx",40.8158754,-73.90257489999999,restaurant
513,Dunkin',1.0,3.8,202.0,"925 Hunts Point Avenue, The Bronx",40.8204222,-73.8915414,restaurant
514,Seis Vecinos,2.0,4.1,1833.0,"640 Prospect Avenue, The Bronx",40.81540179999999,-73.90295979999999,restaurant
515,McDonald's,1.0,3.7,1141.0,"925 Hunts Point Avenue, The Bronx",40.8203683,-73.8914534,restaurant
518,La Cueva Fonda,1.0,4.5,218.0,"961 Leggett Avenue, The Bronx",40.8152627,-73.90005579999999,restaurant
602,George's Diner,1.0,4.5,1717.0,"2369 Westchester Avenue, The Bronx",40.8368085,-73.8469099,restaurant
615,La Cocina Boricua,2.0,4.3,725.0,"2245 Westchester Avenue, The Bronx",40.8344914,-73.85053940000002,restaurant
623,Burger King,1.0,3.7,564.0,"60 Metropolitan Oval, The Bronx",40.83752719999999,-73.86013539999999,restaurant
625,taqueria lupita II,1.0,4.1,135.0,"1770 East Tremont Avenue, The Bronx",40.839619,-73.868714,restaurant
627,Popeyes Louisiana Kitchen,1.0,3.3,599.0,"60 Metropolitan Oval, The Bronx",40.8374783,-73.8600032,restaurant
628,Subway,1.0,3.4,41.0,"1448 East Avenue Unit G-7, The Bronx",40.8362371,-73.86015739999999,restaurant
634,Dunkin',1.0,4.2,493.0,"Bp Gas Station, 1730 Cross Bronx Expressway, The Bronx",40.8354835,-73.8705729,restaurant
639,Subway,1.0,4.0,89.0,"968 Morris Park Avenue, The Bronx",40.8474919,-73.8571386,restaurant
640,Caridad Williamsbridge,1.0,3.9,698.0,"1436 Williamsbridge Road, The Bronx",40.8431572,-73.84471169999999,restaurant
642,Enzo's Of Williamsbridge,2.0,4.6,514.0,"1998 Williamsbridge Road, The Bronx",40.8541924,-73.8540129,restaurant
