neighborhood,studio,,neighborhood,1_bedroom,,neighborhood,2_bedroom,,,
Upper West Side,"$1,975",,Upper West Side,"$2,750",,Upper West Side,"$4,350",,,
Bedford-Stuyvesant,"$1,650",,Bedford-Stuyvesant,"$1,975",,Bedford-Stuyvesant,"$2,200",,,
Bushwick,"$1,731",,Bushwick,"$2,150",,Bushwick,"$2,100",,,
Upper East Side,"$1,898",,Upper East Side,"$2,395",,Upper East Side,"$3,295",,,
Williamsburg,"$2,491",,Williamsburg,"$2,500",,Williamsburg,"$2,584",,,
Astoria,"$1,575",,Astoria,"$1,875",,Astoria,"$2,200",,,
Hell's Kitchen,"$2,012",,Hell's Kitchen,"$2,742",,Hell's Kitchen,"$3,900",,,
Crown Heights,"$1,759",,Crown Heights,"$1,850",,Crown Heights,"$2,200",,,
Midtown East,"$2,100",,Midtown East,"$3,208",,Midtown East,"$4,600",,,
Chelsea,"$2,323",,Chelsea,"$3,125",,Chelsea,"$4,959",,,
Flatbush,"$1,618",,Flatbush,"$1,800",,Flatbush,"$2,117",,,
Financial District,"$2,195",,Financial District,"$3,027",,Financial District,"$3,650",,,
Long Island City,"$1,971",,Long Island City,"$2,500",,Long Island City,"$3,300",,,
Flushing,"$1,600",,Flushing,"$1,750",,Flushing,"$2,150",,,
West Harlem,"$1,937",,West Harlem,"$2,647",,West Harlem,"$2,400",,,
Central Harlem,"$1,713",,Central Harlem,"$2,000",,Central Harlem,"$2,667",,,
East Village,"$1,850",,East Village,"$2,425",,East Village,"$2,933",,,
Murray Hill,"$2,400",,Murray Hill,"$3,350",,Murray Hill,"$4,678",,,
Ridgewood,"$1,811",,Ridgewood,"$1,800",,Ridgewood,"$2,000",,,
East Harlem,"$1,600",,East Harlem,"$2,000",,East Harlem,"$2,300",,,
Park Slope,"$2,100",,Park Slope,"$2,475",,Park Slope,"$2,700",,,
West Village,"$2,300",,West Village,"$3,310",,West Village,"$4,995",,,
Washington Heights,"$1,650",,Washington Heights,"$1,775",,Washington Heights,"$2,163",,,
Downtown Brooklyn,"$2,310",,Downtown Brooklyn,"$3,150",,Downtown Brooklyn,"$4,057",,,
Rego Park,"$1,673",,Rego Park,"$1,850",,Rego Park,"$2,300",,,
Kips Bay,"$2,150",,Kips Bay,"$2,698",,Kips Bay,"$3,646",,,
Theater District,"$2,423",,Theater District,"$3,300",,Theater District,"$4,850",,,
Greenpoint,"$2,350",,Greenpoint,"$2,400",,Greenpoint,"$2,550",,,
NoMad,"$2,970",,NoMad,"$4,750",,NoMad,"$7,150",,,
Bay Ridge,"$2,038",,Bay Ridge,"$1,750",,Bay Ridge,"$2,109",,,
East New York,"$1,575",,East New York,"$1,750",,East New York,"$1,995",,,
Elmhurst,"$1,563",,Elmhurst,"$1,800",,Elmhurst,"$2,236",,,
