Borough,Neighbourhood,Latitude_x,Longitude_x,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Latitude_y,Longitude_y,Zipcode,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,resto_cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Bronx,Wakefield,40.89470517661,-73.84720052054902,1750.0,1665.0,1950.0,,,,,40.89470517661,-73.84720052054902,10466.0,23,741.6086956521739,3.2941176470588243,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,8.857142857142858,0.0,0.0,1,1,0,2,1
Bronx,Co-op City,40.87429419303012,-73.82993910812398,,1500.0,1575.0,,,,,40.87429419303012,-73.82993910812398,10475.0,25,749.6,2.882352941176471,1.48,0.0,0.0,0.0,0.0,0.0,0.0,9.63157894736842,0.0,0.0,1,1,0,2,1
Bronx,Eastchester,40.887555677350775,-73.82780644716412,,,,,,,,40.887555677350775,-73.82780644716412,10466.0,25,554.44,3.035947712418301,1.48,0.0,0.0,0.0,0.0,0.0,0.0,9.166666666666666,0.0,0.0,1,1,0,2,1
Bronx,Fieldston,40.89543742690383,-73.90564259591682,,,,,,,,40.89543742690383,-73.90564259591682,10471.0,25,875.12,3.274509803921569,1.5,0.0,0.0,0.0,0.0,0.0,0.0,13.076923076923077,0.0,0.0,1,1,0,2,1
Bronx,Riverdale,40.890834493891305,-73.9125854610857,2300.0,1850.0,2600.0,,,,,40.890834493891305,-73.9125854610857,10463.0,25,633.56,3.4313725490196085,1.56,0.0,0.0,0.0,0.0,0.0,0.0,20.091666666666665,0.0,0.0,1,1,0,1,1
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,947.0,1500.0,2198.0,,,,,40.88168737120521,-73.90281798724604,10463.0,25,532.28,3.8392156862745104,1.4,0.0,0.0,0.0,0.0,0.0,0.010752688172043,6.991039426523297,1.0,1.0,1,0,0,2,1
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,,3350.0,1825.0,,,,,40.87655077879964,-73.91065965862981,10034.0,25,639.96,3.343713956170704,1.28,0.0,0.0,0.0,0.0,0.0,0.003831417624521,11.666666666666666,0.0,0.0,1,3,0,2,1
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,,,1983.0,,,,,40.89827261213805,-73.86731496814176,10466.0,80,595.8220564837596,3.638829471182412,1.278688524590164,12558.0,38.0,5.0,32.0,12.0,0.0,5.864197530864198,2.0,1.0,1,0,0,2,0
Bronx,Norwood,40.87722415599446,-73.8793907395681,2700.0,1600.0,1895.0,,,,,40.87722415599446,-73.8793907395681,10458.0,25,552.36,2.887955182072829,1.32,0.0,0.0,0.0,0.0,0.0,0.0,8.842032967032967,0.0,0.0,1,1,0,2,1
Bronx,Williamsbridge,40.88103887819211,-73.85744642974207,3650.0,1600.0,2100.0,,,,,40.88103887819211,-73.85744642974207,10467.0,25,672.16,3.843137254901961,1.5,0.0,0.0,0.0,0.0,0.0,0.0051150895140664,10.964194373401536,0.0,0.0,1,1,0,2,1
Bronx,Baychester,40.866858107252696,-73.83579759808117,,,,,,,,40.866858107252696,-73.83579759808117,10475.0,58,633.7594189890752,3.361764705882353,1.568627450980392,27375.0,25.0,7.0,20.0,4.0,0.0,14.520408163265309,0.0,0.0,1,1,0,0,1
Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999,,1450.0,2150.0,,,,,40.85741349808865,-73.85475564017999,10461.0,25,636.2,3.328808446455506,1.2272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,16.159420289855074,0.0,0.0,1,1,0,2,1
Bronx,City Island,40.84724670491813,-73.78648845267413,1650.0,1350.0,2350.0,,,,,40.84724670491813,-73.78648845267413,10464.0,45,459.0398263267342,3.94969040247678,2.085714285714286,33815.0,5.0,5.0,12.0,1.0,0.02,1.9,4.0,1.0,1,0,0,3,1
