business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed,req_cat
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ripe Kitchen & Bar,"[{'height': 2471, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116595244994406270199"">Ripe Kitchen &amp; Bar</a>'], 'photo_reference': 'AW30NDxkkKXIJ0w3ihm-s_VoLokP9PP4ZIBtmRPpGfJFpkXmmjoGrT1tscWZNUvh_fSEJNTwgAsi5APoFGTQN_RmmItzTOHNmgc4P1KjUDhL90bYccaOu0YH7liuHFpHzrJr6dEyOYjnsWyjVntNeLpLZnWyd4pSg5CPu3EZOFS0zcBzNShm', 'width': 5394}]",ChIJ9aOdYiyNwokRS49czrNTQo4,2.0,4.3,ChIJ9aOdYiyNwokRS49czrNTQo4,GOOGLE,"['park', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",714.0,"151 West Sandford Boulevard, Mount Vernon",40.8982087,-73.8388554,40.89949773029149,-73.8374523697085,40.89679976970849,-73.84015033029152,False,"V5X6+7F Mount Vernon, NY, USA",87G8V5X6+7F,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bissel Gardens,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115717287216922922649"">Brian Duffy</a>'], 'photo_reference': 'AW30NDzOSUOi1tZzUuleS4LBMh6hc8Gt3uQ9aMBYjQdh0FJPPLmJ9HgB7qvpt_8E-Q9KTGceFDKAK4rjfPmjxiVlzlKDuko53yWqWDMNPOeJGXc7WOrlgp-vDFqw-7RmvRJW-7fM1a8h1UZ1MeSd33wHIlEBXLDjBXTb8_Vdz-ERFqbKNy_g', 'width': 2448}]",ChIJWcfdYdHywokRwdVd0ZGEGQU,,4.2,ChIJWcfdYdHywokRwdVd0ZGEGQU,GOOGLE,"['park', 'point_of_interest', 'establishment']",25.0,"4525 Barnes Avenue, The Bronx",40.8998575,-73.85019620000001,40.9011364802915,-73.8487416697085,40.8984385197085,-73.85143963029151,,"V4XX+WW New York, NY, USA",87G8V4XX+WW,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Givans Creek Woods,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102208343564868454708"">Sandra DaCosta</a>'], 'photo_reference': 'AW30NDygHQ7aJNe94mxiF3YmNjrlP69YzzUAtkGKhEODIVk7-zgqR7NAOLZISrwtHq000J1NvmbujUpPM5tP6vwlF_bc32hslt7T__bFFxj-dhNCnPElhR_OUd5MLs9xTodHqbFSAYHLhMInJnxgZcHkhXB8J2TfqIkTOlrvjOokR7Ws9oVh', 'width': 3096}]",ChIJgZk8XsWMwokR1QLdmJSK07A,,4.2,ChIJgZk8XsWMwokR1QLdmJSK07A,GOOGLE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",151.0,"4567, 1000 Baychester Avenue, The Bronx",40.8791799,-73.8305113,40.8803937802915,-73.8293946197085,40.8776958197085,-73.8320925802915,,"V5H9+MQ The Bronx, NY, USA",87G8V5H9+MQ,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Northeast Educational Park,"[{'height': 814, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102306592985771974862"">Levi C</a>'], 'photo_reference': 'AW30NDyfvyLBGDKkLfZDrg5axB__JQ9FbH81d9yfpgmbkt3A_IJIwY1VhpPqY92KxuxlE0l4kb4zvrlRlJKD7C3XwyxymdodzRf4P-f3zBAtqrSnNEQ-Mk1KrG3MajfH6Nb6oNZ1Qus19LfLO-h7J4a58l55yc_rNJ6K2nytdapGIElnLQVs', 'width': 1707}]",ChIJIR4lh8iMwokRwkigEwrhiv0,,5.0,ChIJIR4lh8iMwokRwkigEwrhiv0,GOOGLE,"['park', 'point_of_interest', 'establishment']",2.0,The Bronx,40.8740741,-73.8305687,40.8754230802915,-73.8292197197085,40.87272511970851,-73.83191768029151,True,"V5F9+JQ The Bronx, NY, USA",87G8V5F9+JQ,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Co-op City Greenway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110183418735038505447"">James Mifflin</a>'], 'photo_reference': 'AW30NDza0liXJCmJV5oEBAJWammoOeZWkSlIjCdY0S8LXbc3PlhoCucvIXxUD6zYhnVUHRdGo9h5O-8n5zAQQaJ7iTp0h351aKzuc6eaR6cR7yhkxCHYdRILG67nC6v_48VwIXE03l1Uz-3OSvWtAQDecwG15peHMyg_0qlvjJvTiZ7S04iy', 'width': 3696}]",ChIJm2DXRMaMwokRtMMtdMysYHY,,4.6,ChIJm2DXRMaMwokRtMMtdMysYHY,GOOGLE,"['park', 'point_of_interest', 'establishment']",207.0,The Bronx,40.8740777,-73.8278469,40.8754266802915,-73.8264979197085,40.8727287197085,-73.82919588029151,True,"V5FC+JV New York, NY, USA",87G8V5FC+JV,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,"Kiddie Park, Alcott Place","[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100949966428604937881"">Stacy A.</a>'], 'photo_reference': 'AW30NDzQEchgLgdKl0SEyqJngkGAcNrUvXPvi6dFvQi3uMAZgdHfN6-NhUGwjoG11YnZ8KQZzkJAn9m8oFq0LCkuL72z27mTvlyLsUzDOIVjR1fQ8usaWEgd-BcHW79n1p4va2hY2f6XLqIu8cM28dBa-shxzqv3tmpLJwihs7-tMXD7Lf_v', 'width': 3072}]",ChIJu6aSz2yNwokRutpGLYjSBZ8,,,ChIJu6aSz2yNwokRutpGLYjSBZ8,GOOGLE,"['park', 'point_of_interest', 'establishment']",,"Alcott Place, The Bronx",40.8720849,-73.8301286,40.8734167302915,-73.82875331970848,40.8707187697085,-73.83145128029149,True,"V5C9+RW New York, NY, USA",87G8V5C9+RW,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,"Harley J. Mosley, Sr. Veteran's Memorial Park","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109483977348485652020"">Tobias Timothy</a>'], 'photo_reference': 'AW30NDyOMeQEZddEjCQbpl-rcpXcDb2g4HZcIES-Jvfu6-heHe5X8c-WSxDR4j9j6ucqCsft4YS6uIhXqIopNo73Rj1d3RDn6-IitEt9xI7tSPeBZtOTXJCqwI0R64jWfNhWFhnKPBY-p3BBkDfztjEzsiCWBSJDlo9I0ZBPwrIj6bq2cg5k', 'width': 1920}]",ChIJwVejH5qNwokRAfs9FdEmLwk,,,ChIJwVejH5qNwokRAfs9FdEmLwk,GOOGLE,"['park', 'point_of_interest', 'establishment']",,"4A Asch Loop, The Bronx",40.8693619,-73.830383,40.8706862802915,-73.8291270197085,40.8679883197085,-73.8318249802915,,"V599+PR New York, NY, USA",87G8V599+PR,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Rivers Run Garden,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102359401121720054172"">Deborah Levine</a>'], 'photo_reference': 'AW30NDwzPHKdPBQoQt4KcAyfara7ye2ZFFsmBmeBbceGu9r_8UB0wwNiILDOebxPJRDKdmjA4iTpGfHm5bwVPRgbw8Ub8mH6g87Y0ltxua5zABBqMamx4zjYq_kG4ao54M8O2M117Sc1a-tRixUExQwCwYXFksq2nqCxwv_znvJPtJnusjH4', 'width': 3000}]",ChIJ60LCjMOMwokRYyB1KPvOHx0,,4.2,ChIJ60LCjMOMwokRYyB1KPvOHx0,GOOGLE,"['park', 'point_of_interest', 'establishment']",46.0,"675 Co Op City Boulevard, The Bronx",40.87797649999999,-73.8226945,40.87936653029149,-73.8214382697085,40.87666856970849,-73.8241362302915,True,"V5HG+5W The Bronx, NY, USA",87G8V5HG+5W,,park
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Haffen Park,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103479201463249677921"">Erica Henry</a>'], 'photo_reference': 'AW30NDw7QR71ip_sljMJZ-36LpNQB6v4zH-okG4W0331X5SaLRPX50mmqEzph6bPW7mb1v_jCbykTHfdif4plyyu61zB4x7V1ra-km2ES9Hvg-j-pO6v2ZWf_2Ru4ro31l14w9EtokIQ1gYrNsTYzob7YSSn40KDdvgejtwVIWc-iDvVsVzR', 'width': 4032}]",ChIJcZPQEsqMwokRzsIKGkFT6FQ,,4.2,ChIJcZPQEsqMwokRzsIKGkFT6FQ,GOOGLE,"['park', 'point_of_interest', 'establishment']",403.0,"Ely Ave &, Hammersley Avenue",40.8736837,-73.8391073,40.87606549999999,-73.83599470000001,40.87131950000001,-73.8423803,True,"V5F6+F9 New York, NY, USA",87G8V5F6+F9,,park
,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Northeast Bronx Educational Park,,ChIJPX8JR8aMwokRVGb6wGo-Fyo,,,ChIJPX8JR8aMwokRVGb6wGo-Fyo,GOOGLE,"['park', 'premise', 'point_of_interest', 'establishment']",,The Bronx,40.8734258,-73.8290409,40.87634953964715,-73.82481612291839,40.87263546960856,-73.82970134694641,,,,,park
