business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,price_level,permanently_closed,req_cat
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Associated Supermarkets of Edenwald,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103982524381584067644"">Jade John-Rose</a>'], 'photo_reference': 'AW30NDzHbz9DjW_zZAclo9qxk9S6ZRnBCKt7uO3lkwry4cJhlaTjQH9lOAs-4SCdc4qD2S_uPznpuD897NT2tUK0XAdxX4Bun1jS3kwH9n5EbH3WmkK0okw8gCsUbVxFAAAHxt5ubxxYGVhRFnGwLR6vofLsPcaQjnwAumUNE69wnVx8TWef', 'width': 2988}]",ChIJE0hQCSzzwokRNXtfA5ppMfs,3.9,ChIJE0hQCSzzwokRNXtfA5ppMfs,GOOGLE,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",372.0,"4141 Laconia Avenue, The Bronx",40.8882658,-73.84710179999999,40.8895394302915,-73.84559871970849,40.88684146970851,-73.8482966802915,True,"V5Q3+85 New York, NY, USA",87G8V5Q3+85,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Fine Fare Supermarkets,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106778310333403340622"">W. Craig Clark</a>'], 'photo_reference': 'AW30NDyXClQdJ2u0kply6s9TOHFIYd1azD7897u4PclHclZ0noG_XeApsDCknZ2JswUjxxYapYu4VFtQSUmg8wjVB14K7Vm1xlQOp1VXRNRTnJsOUCHq04OUFpyiWWkLlU1oHsEke9PZHMKCxoRo0W6g7NC8tFVdZWhlu-bMP9p8v6LAUcLi', 'width': 1936}]",ChIJwQqYaSvzwokR2vl44PAU-mw,4.1,ChIJwQqYaSvzwokR2vl44PAU-mw,GOOGLE,"['supermarket', 'atm', 'grocery_or_supermarket', 'finance', 'food', 'store', 'point_of_interest', 'establishment']",547.0,"1199 East 233rd Street, The Bronx",40.88946320000001,-73.8436203,40.8906971802915,-73.84232491970849,40.88799921970851,-73.84502288029151,True,"V5Q4+QH New York, NY, USA",87G8V5Q4+QH,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Foodtown of White Plains Road,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103433382079134038758"">Rafael Sanchez</a>'], 'photo_reference': 'AW30NDzcMa2QbPo94aGhYGbTSniETDCfSSWTq_bWurr31nBq3YrIacTR7Pn1h5-fM3q_py69aQmHvtmEv3ZDS7k1tpVNjdfDApgonG8BITDkcOYLguZfgwN2WqJGuM0g_EO09NjMSRPen4pCh-EZcry5fdU31Q4C4HZbo6GVFxxz5RCHCES-', 'width': 5312}]",ChIJNRBLRNjywokRwgIuMLIdBkY,4.1,ChIJNRBLRNjywokRwgIuMLIdBkY,GOOGLE,"['grocery_or_supermarket', 'florist', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1195.0,"4332 White Plains Road, The Bronx",40.89617199999999,-73.855542,40.89750258029149,-73.8542367697085,40.8948046197085,-73.85693473029151,True,"V4WV+FQ New York, NY, USA",87G8V4WV+FQ,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,233rd Caribbean meat market,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111094751682789656196"">233rd Caribbean meat market</a>'], 'photo_reference': 'AW30NDzpCNQ0ZxL9wGS2KfiDrHCqzzpAwRmeoDeTnf250smqptd8UtZVNGL-ykUNAlmIU3iyXjQ-HAkSiSYVI1imvKHq36R6bHQj6rZWlfDu2hS9z3kYvzNtr5JVthc90Nkw5EqRWxd7VZvsSmr0lNWjdGBS1IDMSkarQnVlA8T1FeVtYgVe', 'width': 1024}]",ChIJG56qDCfzwokREsftljqbKKg,4.7,ChIJG56qDCfzwokREsftljqbKKg,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",35.0,"4206 White Plains Road, The Bronx",40.893745,-73.856977,40.8951536302915,-73.85569131970848,40.8924556697085,-73.8583892802915,True,"V4VV+F6 The Bronx, NY, USA",87G8V4VV+F6,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,City Fresh Market,,ChIJ--GWDyzzwokRMvHRh43j9oA,4.3,ChIJ--GWDyzzwokRMvHRh43j9oA,GOOGLE,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",7.0,"4139 Laconia Avenue, The Bronx",40.88814649999999,-73.8470064,40.88949203029151,-73.8455510197085,40.88679406970851,-73.84824898029152,True,"V5Q3+75 The Bronx, NY, USA",87G8V5Q3+75,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Met Foodmarkets,"[{'height': 743, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110823032883020575397"">Metfood 4401</a>'], 'photo_reference': 'AW30NDwM3jHvUGKoNuRCWv3LcM-70nbs7vTHjDTzQ5JMKQ3OpEbLMgWQuso1wpvNAGuXSyEPjZ3YvgpCe2N-BWAhoJJvVgFcjg1en8BD3wQDv1JZdAA6p3mO6xrImKsrzLW0jKubr8NT6KE6j7f63sGr52zLgyCIPDP4DFJdAQmREOBvAkVd', 'width': 1024}]",ChIJ4TjotYbzwokRddH40lw8Y2E,4.3,ChIJ4TjotYbzwokRddH40lw8Y2E,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",81.0,"4401 White Plains Road, The Bronx",40.89869569999999,-73.8544964,40.8999789302915,-73.8531430197085,40.8972809697085,-73.8558409802915,True,"V4XW+F6 New York, NY, USA",87G8V4XW+F6,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,King of Kings African Market,,ChIJpdSec0rzwokRjEQ43Lyi2iI,4.0,ChIJpdSec0rzwokRjEQ43Lyi2iI,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"4234 White Plains Road, The Bronx",40.8944862,-73.8565193,40.8958982802915,-73.8552738197085,40.8932003197085,-73.8579717802915,True,"V4VV+Q9 The Bronx, NY, USA",87G8V4VV+Q9,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Key Food Supermarkets,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113081875587699267602"">Eddie Martin</a>'], 'photo_reference': 'AW30NDzmBaxeq733V1e3D4TXAQTadFdExbjKmM6P-4eXg6tVfhL_ZN1wboO41FPf_mKbUMYANzti8V9tMoGunR5X4PuW3jX0Z825MQV6uSbhvwh7KOubhnDJ3s7LIFkYSSickE6mTZggaye5AUQiPpGHB5Vb5f0vbFY5BCKukvXJer9YQLta', 'width': 4160}]",ChIJv_HhGyfzwokR5tztI0aamso,4.2,ChIJv_HhGyfzwokR5tztI0aamso,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",607.0,"4171 White Plains Road, The Bronx",40.8930667,-73.8579329,40.8943096302915,-73.85648026970848,40.8916116697085,-73.8591782302915,True,"V4VR+6R The Bronx, NY, USA",87G8V4VR+6R,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,LUPITAS MEXICAN GROCERY II INC,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116933239434695892710"">Garrison Pease</a>'], 'photo_reference': 'AW30NDzIIWbLZDDaiOR2V-iSNrQc7m0aQQ5OlXxURKuY6KCOVVVi9IDD0j8C3o5P9K8QZ_F4iUvqNXuBnYjH4GYlzVSo3iZh5JM06C-zcHW_5856tlZK9WnBQ8TNEexlRdbZyRls6bMw3jOQPs4-UUfvGbwOSvnyeCu4RdDPTjqpZqnKhabW', 'width': 3024}]",ChIJmwAtNyfzwokRPiMz1uky6Y4,4.6,ChIJmwAtNyfzwokRPiMz1uky6Y4,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",34.0,"654 East 233rd Street #10-11, East 233rd Street, The Bronx",40.8937368,-73.8589623,40.8951305302915,-73.85758571970848,40.8924325697085,-73.8602836802915,True,"V4VR+FC The Bronx, NY, USA",87G8V4VR+FC,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Food Universe Marketplace,"[{'height': 5333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115855232791611870928"">Jessy Jones</a>'], 'photo_reference': 'AW30NDyHXkv_bz-gsnwULei3ZQE6FXTZWRCK56L4wbi8BrGFpM569XXgFqc1cjW4TepfmSMDpEs6AwB4p0vkPYeYdqqn4tcKEdiDl_6wiRmy12Dt6DdalrfyDziUjUSHI2S5YxjlaW2YkSG-ATj12kJJ0WxDZPiKXiiwB3nfhmYQuDZkHGaI', 'width': 3000}]",ChIJsVfTpcWMwokRjUEQF2bYqtE,3.6,ChIJsVfTpcWMwokRjUEQF2bYqtE,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'atm', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",113.0,"111 Dreiser Loop, The Bronx",40.8768272,-73.8289108,40.8780156802915,-73.8273009197085,40.87531771970851,-73.82999888029151,True,"V5GC+PC The Bronx, NY, USA",87G8V5GC+PC,,,supermarket
