business_status,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,rating,user_ratings_total,opening_hours.open_now,price_level,permanently_closed,req_cat
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baychester Av/Pitman Av,ChIJhYtMWNTywokRmxLQLfbyUhg,ChIJhYtMWNTywokRmxLQLfbyUhg,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.896448,-73.84502049999999,40.89779403029151,-73.8436849197085,40.89509606970851,-73.8463828802915,"V5W3+HX New York, NY, USA",87G8V5W3+HX,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baychester Av/Edenwald Av,ChIJbST_YdXywokRJjZ5163rsOI,ChIJbST_YdXywokRJjZ5163rsOI,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.8931005,-73.8437345,40.8944471302915,-73.84239681970848,40.8917491697085,-73.8450947802915,"V5V4+6G New York, NY, USA",87G8V5V4+6G,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nereid Av/Bruner Av,ChIJzWjJztbywokRtc3_GWi-3so,ChIJzWjJztbywokRtc3_GWi-3so,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.8984605,-73.8496515,40.8997903302915,-73.84829496970852,40.8970923697085,-73.85099293029153,"V5X2+94 New York, NY, USA",87G8V5X2+94,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nereid Av/Byron Av,ChIJcYpjadfywokRFmPl3dBM4V8,ChIJcYpjadfywokRFmPl3dBM4V8,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.897842,-73.8525885,40.8991784302915,-73.85121126970849,40.8964804697085,-73.85390923029149,"V4XW+4X New York, NY, USA",87G8V4XW+4X,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baychester Ave/Pitman Av,ChIJg7ZlV9TywokR9IEhSF7JIPI,ChIJg7ZlV9TywokR9IEhSF7JIPI,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",Bronx,40.89637679999999,-73.8451157,40.8977301302915,-73.84374701970849,40.8950321697085,-73.84644498029151,"V5W3+HX New York, NY, USA",87G8V5W3+HX,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104520882538477252267"">B Jaquez</a>'], 'photo_reference': 'AW30NDxOM0zWBlLsCJOb35Ym3y676Dg88LqsRLeKXsUXC5Utvh1_VKr-iVkQfIC5CoChSy5CkrO2JpK4z2lPnCcLyKJ3IDt8VaS4CKZ9FY4QPlHT1yytaJTzZ4CI8oY-6pZyuAsm4vS0csa8Qty6eL5KwarVJ2Ddp4IvT78m6SC8A2P_TO80', 'width': 2268}]",4.0,1.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baychester Ave/Pitman Av,ChIJj4LqWNTywokRtMt3b2N_ags,ChIJj4LqWNTywokRtMt3b2N_ags,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.89651499999999,-73.84490199999999,40.8978568302915,-73.84358521970849,40.8951588697085,-73.8462831802915,"V5W4+J2 New York, NY, USA",87G8V5W4+J2,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baychester Ave/Edenwald Av,ChIJHa11YdXywokRbCZh1lAx-6o,ChIJHa11YdXywokRbCZh1lAx-6o,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.89323,-73.843658,40.8945742802915,-73.8423302697085,40.89187631970851,-73.8450282302915,"V5V4+7G New York, NY, USA",87G8V5V4+7G,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Baychester Ave/Edenwald Av,ChIJM4nOnSrzwokRnNzvkE7eiqg,ChIJM4nOnSrzwokRnNzvkE7eiqg,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.89297499999999,-73.843803,40.89432968029151,-73.8424363697085,40.89163171970851,-73.8451343302915,"V5V4+5F New York, NY, USA",87G8V5V4+5F,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nereid Ave/Bruner Av,ChIJzyP8ydbywokRKGiqd0CdgkI,ChIJzyP8ydbywokRKGiqd0CdgkI,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.898476,-73.849274,40.8998619302915,-73.8479393197085,40.8971639697085,-73.85063728029151,"V5X2+97 New York, NY, USA",87G8V5X2+97,,5.0,1.0,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,E 233 St/Gunther Av,ChIJgTWLcinzwokRsn8V-ZpAmjY,ChIJgTWLcinzwokRsn8V-ZpAmjY,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.89085,-73.849037,40.8921532302915,-73.8477134197085,40.8894552697085,-73.8504113802915,"V5R2+89 New York, NY, USA",87G8V5R2+89,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106778310333403340622"">W. Craig Clark</a>'], 'photo_reference': 'AW30NDyQV21l8PIz-8b02Sj7FrrN0xVrnaciEj4BQUVEDqLxm-xIhDJvH4CbKeYc-99bNqYGSC2db0H3QWKNwbHPtl_7w_ZyOspVpV76cBw2Mqx2zXdeTPnysrvtCHbjT0mvzud8-_OKYn-7QQcXHq031lM8Ws_4_Njf4PazyAB5pyo00syX', 'width': 1936}]",4.0,1.0,,,,transit_station
